7.26c,"['Reduced  strength gain from 2.8 to 2.6.', 'Reduced  intelligence gain from 2.9 to 2.7.']"
7.07,"['Level 10: +8  strength or +40 attack damage', 'Level 15: +20 movement speed or +6 all stats', 'Level 20: +10% magic resistance or +5% spell damage amplification', 'Level 25: -1s  Death Pulse cooldown or +400 health', 'Increased base health regeneration from 0 to 1.5.', 'Increased base mana regeneration from 0.01 to 0.9.', ' Death Pulse\nRescaled health regeneration per stack from 1/3/5/7 to 2/3/4/5\nRescaled mana regeneration per stack from 1/3/5/7 to 2/2.25/2.5/2.75.\nReduced stacks per hero kill from 10 to 6.\nReduced stacks duration from 7 to 6.', 'Rescaled health regeneration per stack from 1/3/5/7 to 2/3/4/5', 'Rescaled mana regeneration per stack from 1/3/5/7 to 2/2.25/2.5/2.75.', 'Reduced stacks per hero kill from 10 to 6.', 'Reduced stacks duration from 7 to 6.', ' Ghost Shroud\nReduced movement speed slow from 12%/20%/28%/36% to 6%/12%/18%/24%.\nIncreased self magic resistance reduction from 25% to 30%.', 'Reduced movement speed slow from 12%/20%/28%/36% to 6%/12%/18%/24%.', 'Increased self magic resistance reduction from 25% to 30%.', ' Heartstopper Aura\nReduced radius from 900 to 700.\nRescaled max health loss per second from 0.6%/1%/1.4%/1.8% to 0.5%/1%/1.5%/2%.', 'Reduced radius from 900 to 700.', 'Rescaled max health loss per second from 0.6%/1%/1.4%/1.8% to 0.5%/1%/1.5%/2%.', "" Reaper's Scythe\nIncreased cooldown from 100 to 120.\nIncreased mana cost from 175/340/500 to 200/350/500."", 'Increased cooldown from 100 to 120.', 'Increased mana cost from 175/340/500 to 200/350/500.', 'Reworked talents:']"
7.06f,"['Increased  Ghost Shroud self magic resistance reduction from 20% to 25%.', ""Increased  Reaper's Scythe cooldown from 90/80/70 to 100 on each level.""]"
7.06d,"['Level 10 left talent: +6  strength increased to +8.', ""Reduced  Reaper's Scythe cooldown from 100/85/70 to 90/80/70."", 'Talents:']"
7.06c,['Increased  Ghost Shroud slow radius from 600 to 750.']
7.06,"['Increased  strength gain from 2 to 2.3.', 'Reduced base health regeneration from 0.25 to 0.', 'Increased  Ghost Shroud self restoration amplification from 50% to 75%.']"
7.02,"['Level 15 left talent: +15 movement speed increased to +20.', 'Reduced  agility gain from 1.7 to 1.2.', 'Reduced movement speed from 290 to 285.', 'Talents:']"
7.01,['Added  Necrophos to Captains Mode.']
7.00,"['Removed from Captains Mode.', ' Death Pulse\nNow passively grants 1/3/5/7 health and mana regeneration for 7 seconds for each unit killed. [?]\nReduced damage from 125/175/225/275 to 80/120/160/200.\nReduced heal from 70/90/110/130 to 60/80/100/120.', 'Now passively grants 1/3/5/7 health and mana regeneration for 7 seconds for each unit killed. [?]', 'Reduced damage from 125/175/225/275 to 80/120/160/200.', 'Reduced heal from 70/90/110/130 to 60/80/100/120.', 'Replaced  Sadist with a new ability  Ghost Shroud:']"
6.88,"['Reduced radius from 1200 to 900.', 'Increased max health loss per second from 0.6%/0.9%/1.2%/1.5% to 0.6%/1%/1.4%/1.8%.', ' Heartstopper Aura\nReduced radius from 1200 to 900.\nIncreased max health loss per second from 0.6%/0.9%/1.2%/1.5% to 0.6%/1%/1.4%/1.8%.']"
6.87,"['Reduced respawn time increase from 30 on each level to 10/20/30.', 'Increased damage per missing health point from 0.4/0.6/0.9 to 0.6/0.75/0.9.', "" Reaper's Scythe\nReduced respawn time increase from 30 on each level to 10/20/30.\nIncreased damage per missing health point from 0.4/0.6/0.9 to 0.6/0.75/0.9.""]"
6.86,['Increased base armor from 0 to 1 (total armor is now 3.1).']
6.85,"['Increased  Death Pulse damage from 75/125/200/275 to 125/175/225/275.', ' Heartstopper Aura no longer affects ancient creeps.', ' Sadist\nIncreased health regeneration per stack from 1/2/3/4 to 1/2/3/6.\nIncreased mana regeneration per stack from 2/4/6/10 to 2/4/6/12.', 'Increased health regeneration per stack from 1/2/3/4 to 1/2/3/6.', 'Increased mana regeneration per stack from 2/4/6/10 to 2/4/6/12.']"
6.84,[' Heartstopper Aura no longer ignores ancient creeps and creep-heroes.']
6.82,"[""Changed  Reaper's Scythe respawn timer penalty from 30% to a constant 30 seconds increase.""]"
6.81,"['Increased  Heartstopper Aura radius from 1000 to 1200.', "" Reaper's Scythe now adds +30% duration to the target's respawn timer when it dies to or during Reaper's Scythe.""]"
6.80,[' Death Pulse no longer ignores invisible enemies and enemies in the Fog of War.']
6.79,['Increased base armor from -1 to 0 (total armor is now 2.1).']
6.78,"["" Reaper's Scythe now always grants Necrophos the kill credit for that unit when it dies during it, regardless of who did the last hit."", "" Aghanim's Scepter now also causes  Reaper's Scythe to disable the target hero's Buyback for that death, if it dies to or during Reaper's Scythe.""]"
6.77,"[""Increased  Reaper's Scythe stun/delay duration from 1 to 1.5.""]"
6.76,['Increased  Heartstopper Aura max health loss per second from 0.6%/0.8%/1%/1.2% to 0.6%/0.9%/1.2%/1.5%.']
6.75,"['Increased  Death Pulse heal from 50/75/100/130 to 70/90/110/130.', 'Reworked  Sadist']"
6.74,"['Increased  Heartstopper Aura max health loss per second from 0.5%/0.7%/0.9%/1.1% to 0.6%/0.8%/1%/1.2%.', 'Increased  Sadist mana per kill from 12/24/36/48 to 12/24/36/60.']"
6.73,"['Increased  Death Pulse radius from 375/425/450/475 to 475 on each level.', 'Increased  Heartstopper Aura max health loss per second from 0.4%/0.6%/0.8%/1% to 0.5%/0.7%/0.9%/1.1%.', ' Sadist now grants 600 mana on hero kills on its last level.']"
6.72,"['Now calculates and deals its damage at the end of the stun duration, instead of instantly upon cast. This means any damage or heal taken during the stun duration does affect the final damage.', 'Reduced stun duration from 1.5 to 1.', "" Reaper's Scythe\nNow calculates and deals its damage at the end of the stun duration, instead of instantly upon cast. This means any damage or heal taken during the stun duration does affect the final damage.\nReduced stun duration from 1.5 to 1.""]"
6.69,['Reduced attack range from 600 to 550.']
6.64,['Increased  strength gain from 1.5 to 2.']
6.60,"['Reduced  strength gain from 2 to 1.5.', ' Heartstopper Aura\nIncreased radius from 700/800/900/1000 to 1000 on each level.\nReduced max health loss per second from 0.5%/0.75%/1%/1.25% to 0.4%/0.6%/0.8%/1%.', 'Increased radius from 700/800/900/1000 to 1000 on each level.', 'Reduced max health loss per second from 0.5%/0.75%/1%/1.25% to 0.4%/0.6%/0.8%/1%.', "" Reaper's Scythe is now properly blocked by  Linken's Sphere.""]"
6.59,"['Increased radius from 250/500/750/1000 to 700/800/900/1000.', 'Rescaled max health loss per second from 1% on each level to 0.5%/0.75%/1%/1.25%.', ' Heartstopper Aura\nIncreased radius from 250/500/750/1000 to 700/800/900/1000.\nRescaled max health loss per second from 1% on each level to 0.5%/0.75%/1%/1.25%.']"
6.58b,['Fixed  Heartstopper Aura causing suicides.']
6.58,['Replaced Diffusion Aura with  Heartstopper Aura']
6.52,"[""Increased  Reaper's Scythe mana cost from 150/340/500 to 175/340/500."", "" Aghanim's Scepter now also reduces Reaper's Sycthe mana cost from 175/340/500 to 150/340/500.""]"
6.50,"['Reduced mana cost from 200/340/500 to 150/340/500.', 'Reduced cooldown from 150/120/70 to 100/85/70.', "" Reaper's Scythe\nReduced mana cost from 200/340/500 to 150/340/500.\nReduced cooldown from 150/120/70 to 100/85/70."", "" Aghanim's Scepter upgraded  Reaper's Scythe\nIncreased missing health as damage from 0.6/0.9/1.1 to 0.6/0.9/1.2.\nReduced mana cost from 120/70/70 to 70 on each level."", 'Increased missing health as damage from 0.6/0.9/1.1 to 0.6/0.9/1.2.', 'Reduced mana cost from 120/70/70 to 70 on each level.']"
6.47,"['Fixed not affecting ancient units.', ""Now releases projectiles towards spell immune units, too (doesn't damage when still immune upon impact)."", "" Death Pulse\nFixed not affecting ancient units.\nNow releases projectiles towards spell immune units, too (doesn't damage when still immune upon impact).""]"
6.46,['Fixed  Death Pulse hitting enemies which are not visible upon cast.']
6.45,"[""Fixed  Death Pulse canceling allies' consumables upon healing them [?].""]"
6.35,['Increased Diffusion Aura radius from 350 to 450.']
6.29b,['Fixed  Death Pulse not healing units affected by  Aphotic Shield.']
6.28,"['Increased radius from 300 to 350.', 'Changed legacy hotkey from D to F (to prevent hotkey conflicts with Death Pulse).', 'Diffusion Aura\nIncreased radius from 300 to 350.\nChanged legacy hotkey from D to F (to prevent hotkey conflicts with Death Pulse).']"
6.20,"['Reduced movement speed from 300 to 290.', 'Replaced  Heartstopper Aura with Diffusion Aura']"
6.07,['Fixed some memory leak issues on  Heartstopper Aura.']
6.02,['Increased  Death Pulse mana cost from 100/120/140/160 to 125/145/165/185.']
6.00,['Reworked  Heartstopper']
5.80,"['Reduced  Sadist mana per kill from 15/30/45/60 to 12/24/36/48.', ""Fixed an issue with Necrophos'  Aghanim's Scepter upgrade.""]"
5.79,"['Increased damage from 50/100/150/225 to 75/125/200/275.', 'Increased heal from 25/50/75/100 to 50/75/100/130.', 'Reduced cooldown from 9/8/7/6 to 8/7/6/5.', ' Death Pulse\nIncreased damage from 50/100/150/225 to 75/125/200/275.\nIncreased heal from 25/50/75/100 to 50/75/100/130.\nReduced cooldown from 9/8/7/6 to 8/7/6/5.', ""Added  Aghanim's Scepter upgrade for Necrophos: Increases  Reaper's Scythe damage per missing health from 0.4/0.6/0.9 to 0.6/0.9/1.1 and cooldown from 150/120/70 to 120/70/70.""]"
5.78,"['Fixed allied creeps being scared and running away when healed by Death Pulse.', 'Increased damage from 50/100/150/200 to 50/100/150/225.', 'Reduced cooldown from 10/9/8/7 to 9/8/7/6.', ' Death Pulse\nFixed allied creeps being scared and running away when healed by Death Pulse.\nIncreased damage from 50/100/150/200 to 50/100/150/225.\nReduced cooldown from 10/9/8/7 to 9/8/7/6.', 'Increased  Heartstopper duration from 10/20/30/40 to 10/20/30/45.']"
5.77,"['Reduced damage from 75/150/225/300 to 50/100/150/200.', 'Reduced heal from 35/75/115/150 to 25/50/75/100.', 'Reduced mana cost from 115/135/155/185 to 100/120/1400/160.', ' Death Pulse\nReduced damage from 75/150/225/300 to 50/100/150/200.\nReduced heal from 35/75/115/150 to 25/50/75/100.\nReduced mana cost from 115/135/155/185 to 100/120/1400/160.']"
5.76,['Created.']
