7.26c,"['Level 20 left talent: +40%  Illusory Orb distance/speed increased to +50%.', 'Talents:']"
7.21d,"['Level 10 left talent changed: +5 armor -> +125 cast range.', 'Level 10 right talent changed: +10  intelligence -> +5 all stats.', ""The leash debuff no longer pierces spell immunity on cast, now requires  Aghanim's Scepter to do so."", ""The leash debuff is now dispelled by spell immunity when not upgraded with Aghanimn's Scepter."", "" Dream Coil\nThe leash debuff no longer pierces spell immunity on cast, now requires  Aghanim's Scepter to do so.\nThe leash debuff is now dispelled by spell immunity when not upgraded with Aghanimn's Scepter."", 'Talents:']"
7.21,"['Increased  intelligence gain from 2.7 to 3.1.', 'Reduced movement speed from 295 to 290.']"
7.20e,"['Increased base armor from -2 to -1.', 'Reduced  Illusory Orb cooldown from 14/13/12/11 to 13/12/11/10.']"
7.20d,['Increased  Dream Coil link break stun duration from 1.5/2.25/3 to 1.8/2.4/3.']
7.20c,['Increased  intelligence gain from 2.4 to 2.7.']
7.20,"['Level 15 left talent: +50 attack damage increased to +90.', 'Level 15 right talent: +8% spell damage amplification increased to +15%.', 'Increased  strength gain from 2 to 2.2.', 'Reduced base health regeneration from 1.5 to 0.', 'Reduced base mana regeneration from 0.9 to 0.', ' Dream Coil Now applies the leashed status on linked enemies, preventing them from casting teleportation and mobility abilities.', 'Talents:']"
7.19,['Increased  Waning Rift duration from 1.5/2/2.5/3 to 2/2.5/3/3.5.']
7.17,['Increased  Waning Rift duration from 0.75/1.5/2.25/3 to 1.5/2/2.5/3.']
7.15,"['Reduced base  intelligence from 25 to 23.', 'Increased base attack damage from 28-39 to 30-41. (Starting attack damage is unchanged.)']"
7.14,"['Level 20 right talent: -5s  Waning Rift cooldown increased to -8s.', 'Talents:']"
7.13b,['Increased base  strength from 15 to 17.']
7.07,"['Level 10: +175 health or +8  intelligence', 'Level 15: +20% magic resistance or +50 attack damage', 'Level 20: -3s  Waning Rift cooldown or +10% spell damage amplification', 'Level 25: +75%  Illusory Orb distance/speed or 420 gold per minute', 'Increased turn rate from 0.4 to 0.5.', 'Increased base health regeneration from 0 to 1.5.', 'Increased base mana regeneration from 0.01 to 0.9.', ' Dream Coil\nNo longer deals 100/150/200 damage upon cast.\nIncreased link break damage from 100/150/200 ( 200/250/300) to 300/400/500 ( 400/550/700).', 'No longer deals 100/150/200 damage upon cast.', 'Increased link break damage from 100/150/200 ( 200/250/300) to 300/400/500 ( 400/550/700).', 'Reworked talents:']"
7.06f,['Reduced  Illusory Orb vision radius from 550 to 450.']
7.06e,['Reduced base armor from -1 to -2 (total armor is now 1.14).']
7.06,"['Increased  strength gain from 1.7 to 2.', 'Reduced base health regeneration from 0.25 to 0.']"
7.04,['Increased base attack damage from 25-36 to 28-39  (total attack damage is now 53-64).']
7.03,"['Level 15 left talent: +15% magic resistance increased to +20%.', 'Level 15 right talent: +40 attack damage increased to +50.', 'Level 25 right talent: +300 gold per minute increased to +420.', 'Increased base attack damage from 22-33 to 25-36  (total attack damage is now 50-61).', 'Talents:']"
7.02,"['Level 10 left talent: +150 health increased to +175.', 'Level 15 left talent changed: +20 movement speed -> +15% magic resistance.', 'Level 20 left talent changed: +20% magic resistance -> -3s  Waning Rift cooldown.', 'Level 20 right talent: +8% spell damage amplification increased to +10%.', 'Talents:']"
7.01,['Reduced  Dream Coil cooldown from 75 to 70/65/60.']
7.00,"['Level 10: +150 health or +8  intelligence', 'Level 15: +20 movement speed or +40 attack damage', 'Level 20: +20% magic resistance or +8% spell damage amplification', 'Level 25: +75%  Illusory Orb distance/speed or +300 gold per minute', 'Reduced  Illusory Orb vision radius from 800 to 550.', 'Added talents:']"
6.87,['Increased  Illusory Orb projectile speed from 650 to 651.']
6.86,"['Reduced mana cost from 150 on each level to 80/100/120/140.', 'Increased cooldown from 11 on each level to 14/13/12/11.', ' Illusory Orb\nReduced mana cost from 150 on each level to 80/100/120/140.\nIncreased cooldown from 11 on each level to 14/13/12/11.', ' Waning Rift\nNow also silences non-hero units.\nReduced cooldown from 16 on each level to 16/15/14/13.', 'Now also silences non-hero units.', 'Reduced cooldown from 16 on each level to 16/15/14/13.']"
6.85,"['Increased projectile speed from 600 to 650.', 'Increased travel distance from 1800 to 1950.', 'Reduced cooldown from 12 to 11.', ' Illusory Orb\nIncreased projectile speed from 600 to 650.\nIncreased travel distance from 1800 to 1950.\nReduced cooldown from 12 to 11.', 'Reduced  Dream Coil cooldown from 85 to 75.']"
6.84,['Increased  Waning Rift damage from 70/140/210/280 to 100/160/220/280.']
6.82,"['No longer ignores invisible and fogged units or illusions.', "" Aghanim's Scepter now causes the link break stun to pierce spell immunity."", "" Aghanim's Scepter now increases link break stun duration from 1.5/2.25/3 to 1.5/3/4.5"", "" Dream Coil\nNo longer ignores invisible and fogged units or illusions.\n Aghanim's Scepter now causes the link break stun to pierce spell immunity.\n Aghanim's Scepter now increases link break stun duration from 1.5/2.25/3 to 1.5/3/4.5""]"
6.79,['Reduced night vision from 1200 to 800.']
6.77,['Reduced  Illusory Orb cooldown from 13 to 12.']
6.76,['Increased base attack damage from 17-28 to 22-33 (total attack damage is now 47-58).']
6.75,"['Increased  Illusory Orb damage radius form 200 to 225.', 'Increased  Waning Rift damage from 60/120/180/240 to 70/140/210/280.', 'Increased  Dream Coil duration from 5 to 6.', ""Increased  Aghanim's Scepter upgraded  Dream Coil duration from 7 to 8.""]"
6.74,"[' Ethereal Jaunt now disjoints projectiles upon cast.', ' Phase Shift\nCan no longer be set to auto-cast.\nReduced mana cost from 50/40/30/20 to 0 on each level.\nIncreased duration from 0.75/1.5/2.25/3 to 0.75/1.5/2.25/3.25.', 'Can no longer be set to auto-cast.', 'Reduced mana cost from 50/40/30/20 to 0 on each level.', 'Increased duration from 0.75/1.5/2.25/3 to 0.75/1.5/2.25/3.25.', "" Aghanim's Scepter no longer increases  Dream Coil mana cost from 100/150/200 to 150/200/250.""]"
6.72,"['Increased base attack damage from 13-24 to 17-28 (total attack damage is now 42-53).', 'Increased  Waning Rift silence duration from 0.1/1/2/3 to 0.75/1.5/2.25/3.']"
6.71,[' Illusory Orb now starts flashing 1 second before it expires.']
6.70,['Reduced  Waning Rift cooldown from 20 to 16.']
6.69,['Fixed  Waning Rift damage radius being slightly smaller than the silence radius.']
6.68,['Reduced  Illusory Orb cooldown from 15 to 13.']
6.67,"[""Added  Aghanim's Scepter upgrade  for Puck: Increases  Dream Coil duration from 5 to 7, link break damage 100/150/200 to 200/250/300 and mana cost from 100/150/200 to 150/200/250.""]"
6.63b,['Fixed an exploit possible with Puck.']
6.63,"['Increased  Illusory Orb mana cost from 125 to 150.', ' Ethereal Jaunt\nReduced mana cost from 25 to 0.\nIncreased cooldown from 0 to 5.', 'Reduced mana cost from 25 to 0.', 'Increased cooldown from 0 to 5.']"
6.57,['Fixed a bug between  Phase Shift and  Phase Boots.']
6.52,['Reduced attack range from 600 to 550.']
6.49,['Reduced base  intelligence and gain from 27 + 3.1 to 25 + 2.4.']
6.48b,"['Reduced movement speed from 300 to 295.', 'Reduced  intelligence gain from 3.5 to 3.1.', 'Increased  Waning Rift cooldown from 12 to 20.', 'Fixed  Dream Coil link break damage and stun not affecting fogged or invisible enemies.']"
6.48,"['Reduced base  strength from 17 to 15.', 'Increased  Waning Rift cooldown from 10 to 12.']"
6.47,['Created.']
