7.26c,"['Level 25 left talent: -50s  Dark Ascension cooldown increased to -60s.', 'Talents:']"
7.00,"['Level 10: +100 cast range or +7  strength', 'Level 15: +25 attack speed or +300 mana', 'Level 20: +50 attack damage or +30 movement speed', 'Level 25: -6s  Crippling Fear cooldown or +12 armor', 'Added talents:']"
6.87,['Increased attack range from 128 to 150.']
6.86,['Reduced  Void night slow duration from 4 on each level to 2.5/3/3.5/4.']
6.85,"['Increased base health regeneration from 0.25 to 2.', ' Hunter in the Night is now disabled by Break.']"
6.84,['Increased  Void attack speed slow from 35 to 50.']
6.83,"['Increased base attack damage from 34-38 to 38-42 (total attack damage is now 61-65).', 'Reduced  Crippling Fear mana cost from 90 to 50.', ' Darkness\nNow sets all enemy vision to a maximum of 675, instead of reducing it by 25% (still affects all enemy units, including wards and buildings).\nno longer pauses the day/night timer.\nRescaled duration from 40/60/80 to 50.\nReduced cooldown from 180/150/120 to 160/120/80.', 'Now sets all enemy vision to a maximum of 675, instead of reducing it by 25% (still affects all enemy units, including wards and buildings).', 'no longer pauses the day/night timer.', 'Rescaled duration from 40/60/80 to 50.', 'Reduced cooldown from 180/150/120 to 160/120/80.']"
6.82,"['Increased  Hunter in the Night attack speed bonus from 45/55/65/75 to 45/60/75/90.', 'Increased  Darkness duration from 25/50/80 to 40/60/80.']"
6.81,[' Darkness now also affects the vision of buildings.']
6.80,['Increased  Crippling Fear night miss chance from 40% to 50%.']
6.79,"[' Darkness now causes enemy vision to be reduced by 25% (affects heroes, creeps and wards).']"
6.78,['Increased  Hunter in the Night attack speed bonus from 30/45/60/75 to 45/55/65/75.']
6.72d,['Increased collision size from 12 to 24.']
6.72c,['Reduced collision size from 24 to 12.']
6.72,"['Increased attack range from 100 to 128.', ' Hunter in the Night\nIncreased movement speed bonus from 15%/20%/30%/35% to 20%/25%/30%/35%.\nIncreased attack speed bonus from 20/35/55/75 to 30/45/60/75.', 'Increased movement speed bonus from 15%/20%/30%/35% to 20%/25%/30%/35%.', 'Increased attack speed bonus from 20/35/55/75 to 30/45/60/75.']"
6.68,"['Increased base attack damage from 24-28 to 34-38 (total attack damage is now 57-61).', 'Increased  Crippling Fear night miss chance from 10%/20%/30%/40% to 40% on each level.']"
6.65,['Reduced  Void mana cost from 90/112/130/145 to 80/90/100/110.']
6.64,['Reduced  Darkness cooldown from 240/180/125 to 180/150/120.']
6.63,[' Void now also slows movement speed by 50% and attack speed by 35 during daytime for 2 seconds.']
6.61,['Increased  intelligence gain from 1.25 to 1.6.']
6.60,"[""Added  Aghanim's Scepter upgrade: Grants Night Stalker unobstructed vision during the night (independent from  Darkness).""]"
6.55,['Reduced  Crippling Fear mana cost from 125 to 90.']
6.54,['Reduced  Darkness cooldown from 240/210/150 to 240/180/125.']
6.45,"[' Crippling Fear now also silences and applies a 10% miss chance during daytime for 3 seconds on each level.', 'Reduced cast animation from 0.5 to 0.3.']"
6.41,['Reduced  Darkness cooldown from 240/210/180 to 240/210/150.']
6.35,"['Increased base  strength from 21 to 23.', 'Increased base  intelligence from 14 to 16.', 'Increased base armor from 2 to 3 (total armor is now 5.52).']"
6.31,"['Reduced Base Attack Time from 1.9 to 1.7.', 'Increased base armor from 0 to 2 (total armor is now 4.52).']"
6.29,['Fixed  Crippling Fear not causing the target to miss.']
6.19,['Fixed a rare bug with  Darkness that caused permanent nighttime.']
6.02,['Night Stalker can now attack flying units.']
6.00,"['Night Stalker can no longer attack flying units.', 'Changed attack projectile speed from 1200 to instant.', 'Increased base attack time from 1.70 to 1.80.', 'Reduced base mana pool from 200 to 100.', ""Changed Night Stalker's base regen type from only regenerate at night to always regenerate. [?]."", 'Reduced base HP regen from 3 to 0.25.']"
5.78,['Increased base HP regen from 2 to 3.']
5.71,['Reduced base movement speed from 300 to 295.']
5.65,['Increased  Crippling Fear (Pre 7.20) creep duration from 12/16/20/20 to 5/6/7/8.']
5.61,"['No longer set the time into an specific time of the day.', 'Instead turns day/night time into a night for a period of time, when time runs out they day/time cicle continues.', 'Cooldown: 240/210/180', 'Duration: 25/50/80', 'Increased  strength gain from 2.7 to 2.8.', 'Reduced  Void mana cost from 90/112/135/160 to 90/112/135/150.', ' Crippling Fear (Pre 7.20)\nIncreased Hero duration from 5/5/6/6 to 5/6/7/8.\nReduced cooldown from 15 to 12.', 'Increased Hero duration from 5/5/6/6 to 5/6/7/8.', 'Reduced cooldown from 15 to 12.', ' Hunter in the Night\nIncreased movement speed bonus from 10%/15%/20%/25% to 15%/20%/30%/35%.\nIncreased attack speed bonus from 15/30/45/60 to 20/35/55/75.', 'Increased movement speed bonus from 10%/15%/20%/25% to 15%/20%/30%/35%.', 'Increased attack speed bonus from 15/30/45/60 to 20/35/55/75.', 'Changed how  Darkness works.']"
5.60,['Increased  Void Movement Speed Slow from 30% to 50%.']
5.59,"['Rescaled Movement Speed Slow from 10% on each level to 4%/8%/12%/16%', 'Reduced Hero duration from 5/6/7/7 to 5/5/6/6.', ' Crippling Fear (Pre 7.20)\nRescaled Movement Speed Slow from 10% on each level to 4%/8%/12%/16%\nReduced Hero duration from 5/6/7/7 to 5/5/6/6.']"
5.58,"['Reduced base attack damage from 32-36 to 24-28.', 'Reduced  strength gain from 2.8 to 2.7.', ' Void\nIncreased slow duration from 3 to 4.\nNo longer uses a projectile traveling at 1000 speed.\nVoid damage is now instant.', 'Increased slow duration from 3 to 4.', 'No longer uses a projectile traveling at 1000 speed.', 'Void damage is now instant.', ' Crippling Fear (Pre 7.20)\nIncreased Hero duration from 5/6/7/7 to 5/6/7/8.\nReduced slow from 20%/35%/15%/65% to 10% on each level.\nReduced mana cost from 125/145/165/185 to 125 on each level.\nRescaled cooldown 20/15/10/7 to 15 on each level.', 'Increased Hero duration from 5/6/7/7 to 5/6/7/8.', 'Reduced slow from 20%/35%/15%/65% to 10% on each level.', 'Reduced mana cost from 125/145/165/185 to 125 on each level.', 'Rescaled cooldown 20/15/10/7 to 15 on each level.']"
5.57,['Fixed bugs with his daytime casting. Improved Cast Animation from 0.9/1.10 to 0.5/1.17.']
5.55,"['Increased  agility gain from 2 to 2.25.', 'Increased base  agility from 17 to 18.', 'Reduced  Hunter in the Night movement speed bonus from 10/20/30/40% to 10/15/20/25%.', 'Increased  Darkness cooldown from 610/590/570 to 910/755/750.']"
5.54,"['Fixed Night Stalker not being able to buy Cranium Basher/Monkey King Bar.', 'Increased  strength gain from 2.75 to 2.8.', 'Increased base  strength from 20 to 21.']"
5.50,"['Increased base HP from 100 to 150.', 'Reduced base hp regen from 5 to 2.', 'Reduced base attack damage from 34-38 to 32-36.', 'Reduced base  strength from 23 to 20.', 'Reduced  strength gain from 3 to 2.75.', 'Reduced base  agility from 20 to 17.', 'Reduced  agility gain from 2.5 to 2.0.', 'Reduced  intelligence gain from 1.7 to 1.25.', ' Void\nNo longer stuns for 3 seconds during night.\nNo longer slows for 3 seconds during day.\nNow slows for 3 seconds during night.', 'No longer stuns for 3 seconds during night.', 'No longer slows for 3 seconds during day.', 'Now slows for 3 seconds during night.', ' Crippling Fear (Pre 7.20) no longer has a 200 effect radius.', ""Removed  Aghanim's Scepter Upgrade for Night Stalker""]"
5.40,"['Increased  Darkness cooldown from 310/305/300 to 610/590/570.', ""Added  Aghanim's Scepter Upgrade for Night Stalker: Reduces  Darkness cooldown and mana cost.\nReduces Cooldown from 610/590/570 to 525/515/505.\nReduces Mana Cost from 140/220/325 to 120/200/275."", 'Reduces Cooldown from 610/590/570 to 525/515/505.', 'Reduces Mana Cost from 140/220/325 to 120/200/275.']"
5.36,"['Changed attack type from ranged to melee.', 'Reduced attack range from 250 to 100.', 'Increased base attack damage from 25-29 to 34-38.', 'Increased  Darkness cooldown from 260/160/120 to 310/305/300.']"
5.35,"['In the night, the Night Stalker can cause intense fear in enemy units, causing them to miss attacks, move slower, and be unable to cast spells.', 'Cast range: 500.', 'Radius: 200', 'Miss Chance: 10/20/30/40%.', 'Duration Hero: 5/6/7/7.', 'Duration Creep: 12/16/20/20.', 'Movement Speed Slow: 20%/35%/15%/65%.', 'Cooldown: 20/15/10/7.', 'Mana: 125/145/165/185.', 'Increased base health regen from 3 to 5.', 'Increased  Void cast range from 400 to 425.', 'Replaced  Thirst for Blood with  Crippling Fear (Pre 7.20).']"
5.31,"['Reduced day vision from 1800 to 1200.', 'Increased night vision from 800 to 1800.', ""Changed Night Stalker's base regen type from only regenerate at blight to only regenerate at night. [?]"", 'Increased base health regen from 1 to 3.', 'Reduced  Void cooldown from 10 to 8.', ' Thirst for Blood\nLifesteal only works during night time.\nIncreased lifesteal from 7/12/21/28% to 12/24/36/48%.', 'Lifesteal only works during night time.', 'Increased lifesteal from 7/12/21/28% to 12/24/36/48%.', ' Crippling Fear (Ultimate-Pre 5.35)\nIncreased movement speed slow from 15/25/35% to 20/40/60%.\nReduced mana cost from 250/325/400 to 250/290/350.\nReduced cooldown from 75 on each level to 20/15/10.', 'Increased movement speed slow from 15/25/35% to 20/40/60%.', 'Reduced mana cost from 250/325/400 to 250/290/350.', 'Reduced cooldown from 75 on each level to 20/15/10.']"
5.10,['Created from Void Demon Hero concept.']
