7.26c,"['Level 20 right talent: +35 attack speed increased to +40.', 'Talents:']"
6.88e,"['Now only affects spells which were already on cooldown on cast. Spells cast afterwards are no longer affected.', 'Increased slow per frozen cooldown from 8% to 10%.', ' Time Dilation\nNow only affects spells which were already on cooldown on cast. Spells cast afterwards are no longer affected.\nIncreased slow per frozen cooldown from 8% to 10%.']"
6.88d,['Reduced base attack damage from 37-43 to 33-39 (total attack damage is now 56‒62).']
6.88c,['Increased  Chronosphere cooldown from 130/115/100 to 140/125/110.']
6.88b,['Increased  Time Dilation mana cost from 50 to 75.']
6.87,"['Increased attack range from 128 to 150.', ' Time Walk\nIncreased max distance from 625 to 675.\nIncreased cast time from 0.2 to 0.3.', 'Increased max distance from 625 to 675.', 'Increased cast time from 0.2 to 0.3.', ' Time Dilation\nRescaled movement speed slow per cooldown from 7%/8%/9%/10% to 8% on each level.\nIncreased cooldown from 36/30/24/18 to 40/34/28/22.', 'Rescaled movement speed slow per cooldown from 7%/8%/9%/10% to 8% on each level.', 'Increased cooldown from 36/30/24/18 to 40/34/28/22.', ' Time Lock\nNo longer deals double damage when proccing on units inside Chronosphere.\nIncreased damage from 40/50/60/70 to 50/75/100/125.', 'No longer deals double damage when proccing on units inside Chronosphere.', 'Increased damage from 40/50/60/70 to 50/75/100/125.', "" Aghanim's Scepter no longer increases  Chronosphere's duration from 4/4.5/5 to 4/5/6.""]"
6.86c,"['Increased  strength gain from 1.6 to 1.8.', 'Increased  Time Walk max distance from 550 to 625.', ' Time Dilation\nIncreased duration from 5.5/7/8.5/10 to 6/8/10/12.\nIncreased cooldown from 34/28/22/16 to 36/30/24/18.', 'Increased duration from 5.5/7/8.5/10 to 6/8/10/12.', 'Increased cooldown from 34/28/22/16 to 36/30/24/18.']"
6.86b,"[""Enabled in Captain's Mode."", ' Time Dilation\nIncreased radius from 650 to 725.\nIncreased movement speed slow from 4%/6%/8%/10% to 7%/8%/9%/10%.\nIncreased attack speed slow from 4/6/8/10 to 7/8/9/10.\nRescaled duration from 6/7/8/9 to 5.5/7/8.5/10.', 'Increased radius from 650 to 725.', 'Increased movement speed slow from 4%/6%/8%/10% to 7%/8%/9%/10%.', 'Increased attack speed slow from 4/6/8/10 to 7/8/9/10.', 'Rescaled duration from 6/7/8/9 to 5.5/7/8.5/10.']"
6.86,"[""Temporarily removed from Captain's Mode."", 'Reworked  Time Walk']"
6.84,['Faceless Void is no longer restricted from buying  Skull Basher and  Abyssal Blade (their bashes are still disabled on Faceless Void).']
6.83b,['Increased  Chronosphere mana cost from 150/175/200 to 150/225/300.']
6.83,"[' Time Walk no longer slows attack speed by 20/30/40/50.', ' Chronosphere\nIncreased cooldown from 130/110/90 to 130/115/100.\nWard unit types are no longer able to attack while inside.', 'Increased cooldown from 130/110/90 to 130/115/100.', 'Ward unit types are no longer able to attack while inside.']"
6.82c,['Increased  Chronosphere cooldown from 120/100/80 to 130/110/90.']
6.82,"['Reduced radius from 450 to 425.', 'Reduced flying vision radius from 1000 to 425.', 'No longer disables passive abilities.', 'Effects no longer linger for an extra 0.5 seconds at the end of its duration.', ' Chronosphere\nReduced radius from 450 to 425.\nReduced flying vision radius from 1000 to 425.\nNo longer disables passive abilities.\nEffects no longer linger for an extra 0.5 seconds at the end of its duration.']"
6.81,"['Increased base  agility from 21 to 23.', 'Increased turn rate from 0.5 to 1.']"
6.80,"['Reduced  Time Walk mana cost from 120 to 90.', ' Chronosphere\nNow hastes all units owned by the caster to 1000 movement speed and turns them phased while inside the radius.\nReduced cooldown from 120/110/100 to 120/100/80.', 'Now hastes all units owned by the caster to 1000 movement speed and turns them phased while inside the radius.', 'Reduced cooldown from 120/110/100 to 120/100/80.']"
6.79,"['Increased movement speed slow from 25%/30%/35%/40% to 20%/30%/40%/50%.', 'Increased attack speed slow from 25/30/35/40 to 20/30/40/50.', ' Time Walk\nIncreased movement speed slow from 25%/30%/35%/40% to 20%/30%/40%/50%.\nIncreased attack speed slow from 25/30/35/40 to 20/30/40/50.', 'Increased  Chronosphere radius from 400 to 450.']"
6.75,"[' Time Lock now deals twice as much damage when proccing on a unit inside his Chronosphere.', 'Faceless Void can no longer be frozen by any  Chronosphere.']"
6.72d,['Increased collision size from 12 to 24.']
6.72c,['Reduced collision size from 24 to 12.']
6.72,"['Increased base health regeneration from 0.25 to 0.75', ' Time Walk now applies the slow around Faceless Void during the entire walk, instead of only at the destination.', ' Chronosphere\nNow reveals invisible units within the radius.\nIncreased cast range from 500/550/600 to 600 on each level.', 'Now reveals invisible units within the radius.', 'Increased cast range from 500/550/600 to 600 on each level.', ""Reduced  Aghanim's Scepter upgraded  Chronosphere cooldown from 75 to 60.""]"
6.71,['Increased  Chronosphere duration from 3/4/5 to 4/4.5/5.']
6.69,['Increased  strength gain from 1.4 to 1.6.']
6.66,"['Increased movement speed slow from 10%/20%/30%/40% to 25%/30%/35%/40%.', 'Increased attack speed slow from 10/20/30/40 to 25/30/35/40.', 'Increased cooldown from 13 on each level to 19/17/15/14.', ' Time Walk\nIncreased movement speed slow from 10%/20%/30%/40% to 25%/30%/35%/40%.\nIncreased attack speed slow from 10/20/30/40 to 25/30/35/40.\nIncreased cooldown from 13 on each level to 19/17/15/14.']"
6.61,['Increased base  strength from 17 to 23.']
6.60,"[""Added  Aghanim's Scepter upgrade for Faceless Void: Increases  Chronosphere duration from 3/4/5 to 4/5/6 and reduces cooldown from 120/110/100 to 75 on each level.""]"
6.55,['Reduced  Chronosphere cooldown from 165 on each level to 120/110/100.']
6.52,"['Reduced  strength gain from 2.2 to 1.4.', ' Time Walk\nNow moves at a constant speed of 2600, instead of reaching the targeted point within 1.5 seconds regardless of distance.\nReduced cast time from 0.5 to 0.35.', 'Now moves at a constant speed of 2600, instead of reaching the targeted point within 1.5 seconds regardless of distance.', 'Reduced cast time from 0.5 to 0.35.', 'Reduced  Chronosphere cast time from 0.5 to 0.35.']"
6.48b,"['Reduced duration from 3/4.5/6 to 3/4/5.', 'Reduced cast range from 500/600/700 to 500/550/600.', 'Reduced mana cost from 175/200/225 to 150/175/200.', 'Reduced cooldown from 180 to 165.', ' Chronosphere\nReduced duration from 3/4.5/6 to 3/4/5.\nReduced cast range from 500/600/700 to 500/550/600.\nReduced mana cost from 175/200/225 to 150/175/200.\nReduced cooldown from 180 to 165.']"
6.38,['Increased base attack damage from 23-29 to 37-43 (total attack damage is now 58-64).']
6.35,['Increased base armor from 0 to 1 (total armor is now 3.94).']
6.28,"['Reduced movement speed slow from 15%/30%/45%/60% to 10%/20%/30%/40%.', 'Reduced attack speed slow from 15/30/45/60 to 10/20/30/40.', ' Time Walk\nReduced movement speed slow from 15%/30%/45%/60% to 10%/20%/30%/40%.\nReduced attack speed slow from 15/30/45/60 to 10/20/30/40.']"
6.27b,"['Increased mana cost from 100 to 120.', 'Increased cooldown from 12 to 13.', ' Time Walk\nIncreased mana cost from 100 to 120.\nIncreased cooldown from 12 to 13.']"
6.25,"['Fixed a bug which caused permanent invulnerability.', 'Increased mana cost from 60 to 100.', ' Time Walk\nFixed a bug which caused permanent invulnerability.\nIncreased mana cost from 60 to 100.']"
6.19,['Fixed a bug on  Time Walk.']
6.17,['Fixed  Backtrack triggering on heals.']
6.13,['Reworked Time Walk']
6.12b,"['Fixed Chronosphere starting its effects before the cast point is reached.', 'Reduced cast time from 1.5 to 0.5.', ' Chronosphere\nFixed Chronosphere starting its effects before the cast point is reached.\nReduced cast time from 1.5 to 0.5.']"
6.11,"['Reduced Time Walk attack damage bonus from 30%/60%/90%/120% to 15%/30%/45%/60%.', 'Increased  Chronosphere cast time from 0.5 to 1.5']"
6.10,['Replaced Carrion Swarm with Time Walk']
6.09,['Increased attack range from 100 to 128.']
6.08,['Faceless Void is now allowed to build a  Refresher Orb']
6.07,"['Increased  strength gain from 2.05 to 2.2.', 'Increased  Bash damage from 35 on each level to 40/50/60/70', 'Replaced  Stop Time with Temporal Drag']"
6.06,"['Faceless Void is no longer allowed to build a  Refresher Orb', ' Stop Time\nReduced radius from global on each level to 1000/1500/2000.\nIncreased cooldown from 210/150/110 to 240/185/145.\nNo longer affects buildings.', 'Reduced radius from global on each level to 1000/1500/2000.', 'Increased cooldown from 210/150/110 to 240/185/145.', 'No longer affects buildings.']"
6.05,['Increased  Stop Time cooldown from 210/150/90 to 210/150/110.']
6.04,"['Reduced duration from 3.5 to 2.5.', 'Increased mana cost from 180/200/250 to 180/250/300.', ' Stop Time\nReduced duration from 3.5 to 2.5.\nIncreased mana cost from 180/200/250 to 180/250/300.']"
6.00,"['Improved Attack Animation from 0.300/0.600 to 0.500/0.560.', 'Improved Cast Animation from 0.300/0.470 to 0.500/0.510.', 'Faceless Void is now allowed to build a  Refresher Orb', ' Stop Time\nReduced duration from 3/4/5 to 3.5 on each level.\nReduced cooldown from 180/240/300 to 210/150/90.\nNow also affects buildings.', 'Reduced duration from 3/4/5 to 3.5 on each level.', 'Reduced cooldown from 180/240/300 to 210/150/90.', 'Now also affects buildings.']"
5.78,['Reduced  Stop Time cooldown from 300 to 180/240/300.']
5.76,['Faceless Void is no longer allowed to build a  Refresher Orb.']
5.72,"['Reduced base regen from 0.50 to 0.25.', 'Increased  Bash stun duration from 0.92 to 1..', 'Increased  Evasion dodge chance from 8/16/23/30% to 14/21/28/35%.']"
5.62,"['Rescaled stun duration from 4 to 3/4/5.', 'Increased cooldown from 240/190/140 to 300.', ' Stop Time\nRescaled stun duration from 4 to 3/4/5.\nIncreased cooldown from 240/190/140 to 300.']"
5.58,"['Increased base attack time from 1.50 to 1.70.', 'Reduced base attack damage from 23-36 to 23-29.', 'Reduced  strength gain from 2.15 to 2.05.', 'Reduced  agility gain from 3.00 to 2.65.', 'Increased base  intelligence from 14 to 15.', ' Carrion Swarm\nReduced Carrion Swarm damage from 100/175/250/325 to 100/175/250/300.\nReduced Carrion Swarm mana cost from 105/120/140/170 to 105/120/140/165.', 'Reduced Carrion Swarm damage from 100/175/250/325 to 100/175/250/300.', 'Reduced Carrion Swarm mana cost from 105/120/140/170 to 105/120/140/165.', ' Bash\nIncreased damage from 25 to 35.\nReduced proc chance from 10/15/21/28% to 10/15/20/25%.', 'Increased damage from 25 to 35.', 'Reduced proc chance from 10/15/21/28% to 10/15/20/25%.', ' Stop Time\nReduced mana cost from 175/275/420 to 180/200/250.\nRescaled stun duration from 3/4/5 to 4.\nReduced cooldown from 275/275/250 to 240/190/140.', 'Reduced mana cost from 175/275/420 to 180/200/250.', 'Rescaled stun duration from 3/4/5 to 4.', 'Reduced cooldown from 275/275/250 to 240/190/140.']"
5.55,"['Reduced Carrion Swarm cast range from 700 to 600.', 'Reduced Carrion Swarm travel distance from 800 to 700.', 'Reduced Carrion Swarm radius from 150 to 110.', ' Carrion Swarm\nReduced Carrion Swarm cast range from 700 to 600.\nReduced Carrion Swarm travel distance from 800 to 700.\nReduced Carrion Swarm radius from 150 to 110.']"
5.53,"['Reduced  strength gain from 2.50 to 2.15.', 'Reduced base  agility from 22 to 21.', 'Reduced base  intelligence from 16 to 14.', 'Reduced  intelligence gain from 2.10 to 1.50.', 'Increased  Carrion Swarm cooldown from 7 to 9.', 'Reduced  Evasion dodge chance from 8/16/24/32% to 8/16/23/30%.']"
5.51,['Increased  Stop Time cooldown from 275/250/200 to 275/275/250.']
5.50,"['Increased base HP from 100 to 150.', 'Reduced  Bash proc chance from 10/17/24/31% to 10/15/21/28%.', ' Stop Time\nReduced stun duration from 4/5/6 to 3/4/5.\nIncreased cooldown from 150/250/375 to 275/250/200.\nIncreased mana cost from 150/250/375 to 175/275/420.', 'Reduced stun duration from 4/5/6 to 3/4/5.', 'Increased cooldown from 150/250/375 to 275/250/200.', 'Increased mana cost from 150/250/375 to 175/275/420.', ""Removed  Aghanim's Scepter Upgrade for Faceless Void.""]"
5.40,"[""Added  Aghanim's Scepter Upgrade for Faceless Void: Increases  Stop Time duration from 4/5/6 to 5/6/7.""]"
5.36,[' Stop Time now deals 0.01 damage.']
5.35,"['Reduced  Bash proc chance from 20/22/30/38% to 10/17/24/31%.', 'Reduced  Evasion dodge chance from 15/25/35/45% to 8/16/24/32%.']"
5.34,['Increased  Stop Time mana cost from 150 to 150/250/375.']
5.31,"['Reduced base attack damage from 23-42 to 23-36.', 'Reduced base attack time from 2.50 to 1.50.']"
5.10,['Increased  Carrion Swarm mana cost from 105/120/135/150 to 105/120/140/170.']
4.0beta10,['Reduced  Carrion Swarm cooldown from 10 to 7.']
4.0beta6,"['Reduced base attack damage from 30-30 to 23-42.', 'Increased base armor from 0 to 1.']"
4.0beta5,['Rescaled  Carrion Swarm mana cost from 150 to 105/120/135/150.']
4.0beta2,"['Added a 4th level to all basic abilities.', ' Carrion Swarm\nRescaled damage from 100/200/300 to 100/175/250/325.\nReduced cooldown from 14 to 10.\nIncreased mana cost from 110 to 150.', 'Rescaled damage from 100/200/300 to 100/175/250/325.', 'Reduced cooldown from 14 to 10.', 'Increased mana cost from 110 to 150.', ' Bash\nRescaled proc chance from 20/30/40% to 20/22/30/38%.\nReduced duration from 1 to 0.92.', 'Rescaled proc chance from 20/30/40% to 20/22/30/38%.', 'Reduced duration from 1 to 0.92.', 'Rescaled  Evasion dodge chance from 15/30/45% to 15/25/35/45%.']"
2.60,"['Reduced base armor from 3 to 0.', 'Increased base movement speed from 290 to 300.', 'Increased  Carrion Swarm cooldown 10 from to 14.', ' Stop Time\nIncreased number of ability levels from 1 to 3.\nReduced duration from 7 to 4/5/6.\nIncreased mana cost from 110 to 150.\nIncreased cooldown from 120 to 150.', 'Increased number of ability levels from 1 to 3.', 'Reduced duration from 7 to 4/5/6.', 'Increased mana cost from 110 to 150.', 'Increased cooldown from 120 to 150.']"
0.96b,"['Reduced base  strength from 23 to 17.', 'Reduced base  agility from 25 to 22.', 'Increased  Evasion dodge chance from 10/20/30% to 15/30/45%.', 'Increased  Stop Time cooldown from 60 to 120.']"
0.60,['Created.']
