7.26c,"['Level 10 left talent: +30  Chaos Meteor contact damage increased to +50.', 'Talents:']"
6.66,"['Increased  Quas health regeneration per level per instance from 0.75 to 1.', ' Invoke\nReduced mana cost from 20/50/80/110 to 20/40/60/80.\nReduced cooldown from 30/25/12/5 to 22/17/12/5.', 'Reduced mana cost from 20/50/80/110 to 20/40/60/80.', 'Reduced cooldown from 30/25/12/5 to 22/17/12/5.', ' Cold Snap\nNow also applies the mini-stun initially upon cast.\nNow also deals 60 damage initially upon cast.', 'Now also applies the mini-stun initially upon cast.', 'Now also deals 60 damage initially upon cast.', ' Ghost Walk\nIncreased enemy movement speed slow from 10%/15%/20%/25%/30%/35%/40% to 20%/23/26%/30%/33%/36%/40%.\nReduced mana cost from 300 to 200.', 'Increased enemy movement speed slow from 10%/15%/20%/25%/30%/35%/40% to 20%/23/26%/30%/33%/36%/40%.', 'Reduced mana cost from 300 to 200.', ' Ice Wall\nIncreased mana cost from 125 to 175.\nIncreased cooldown from 20 to 25.', 'Increased mana cost from 125 to 175.', 'Increased cooldown from 20 to 25.', ' Tornado\nIncreased travel distance from 700/1100/1500/1900/2300/2700/3100 to 800/1200/1600/2000/2400/2800/3200.\nIncreased cyclone duration from 0.6/0.85/1.1/1.35/1.6/1.85/2.1 to 0.8/1.1/1.4/1.7/2/2.3/2.5.\nIncreased damage from 120-375 to 123.5-399.5.', 'Increased travel distance from 700/1100/1500/1900/2300/2700/3100 to 800/1200/1600/2000/2400/2800/3200.', 'Increased cyclone duration from 0.6/0.85/1.1/1.35/1.6/1.85/2.1 to 0.8/1.1/1.4/1.7/2/2.3/2.5.', 'Increased damage from 120-375 to 123.5-399.5.', ' Alacrity\nIncreased attack damage bonus from 20/30/40/50/60/70/80 to 30/40/50/60/70/80/90.\nIncreased duration from 8 to 9.', 'Increased attack damage bonus from 20/30/40/50/60/70/80 to 30/40/50/60/70/80/90.', 'Increased duration from 8 to 9.', 'Increased  Sun Strike damage from 75/137.5/200/262.5/325/387.5/450 to 100/162.5/225/287.5/350/412.5/475.', ' Forge Spirit\nArmor is now based on Exort, instead of Quas (values remain same).\nAttack range is now based on Quas, instead of Exort (values remain same).', 'Armor is now based on Exort, instead of Quas (values remain same).', 'Attack range is now based on Quas, instead of Exort (values remain same).', ' Chaos Meteor\nIncreased contact damage per second from 80/110/140/170/200/230/260 to 110/140/170/200/230/260/290.\nIncreased burn damage from 8/11/14/17/20/23/26 to 11/14/17/20/23/26/29.', 'Increased contact damage per second from 80/110/140/170/200/230/260 to 110/140/170/200/230/260/290.', 'Increased burn damage from 8/11/14/17/20/23/26 to 11/14/17/20/23/26/29.']"
6.65,['Added an ally/observer only visual effect to  Sun Strike that plays during its delay at the targeted area.']
6.60,"[""Added  Aghanim's Scepter upgrade for Invoker: Reduces  Invoke mana cost from 20/50/80/110 to 0 on each level and cooldown from 30/25/12/5 to 16/8/4/2."", 'Increased  Alacrity duration from 6 to 8.']"
6.55,['Reduced  Chaos Meteor cooldown from 70 to 55.']
6.54,"['Reduced level requirement from 5/10/15/20 to 2/7/12/17.', 'Reduced cooldown from 30/30/15/5 to 30/25/12/5.', 'Increased mana cost from 20/40/60/80 to 20/50/80/110.', ' Invoke\nReduced level requirement from 5/10/15/20 to 2/7/12/17.\nReduced cooldown from 30/30/15/5 to 30/25/12/5.\nIncreased mana cost from 20/40/60/80 to 20/50/80/110.', ' Ice Wall\nIncreased damage per second from 5/10/15/20/25/30/35 to 6/12/18/24/30/36/42.\nIncreased duration from 4/5/6/7/8/9/10 to 3/4.5/6/7.5/9/10.5/12.', 'Increased damage per second from 5/10/15/20/25/30/35 to 6/12/18/24/30/36/42.', 'Increased duration from 4/5/6/7/8/9/10 to 3/4.5/6/7.5/9/10.5/12.', ' EMP\nNow requires Wex Wex Wex to be invoked, instead of Wex Wex Exort.\nNow deals 50% of mana burned as damage, instead of a set amount of 120/150/180/210/240/270/300 based on Exort. [?]\nChanged damage type from [ Info Needed ] to HP Removal. [?]\nIncreased cast range from 600 to 950.\nReduced mana cost from 250 to 125.\nReduced cooldown from 40 to 25.', 'Now requires Wex Wex Wex to be invoked, instead of Wex Wex Exort.', 'Now deals 50% of mana burned as damage, instead of a set amount of 120/150/180/210/240/270/300 based on Exort. [?]', 'Changed damage type from [ Info Needed ] to HP Removal. [?]', 'Increased cast range from 600 to 950.', 'Reduced mana cost from 250 to 125.', 'Reduced cooldown from 40 to 25.', ' Tornado\nIncreased cyclone duration from 0.4/0.7/1/1.3/1.6/1.9/2.2 to 0.6/0.85/1.1/1.35/1.6/1.85/2.1.\nReduced damage from 190.76-375.32 to 120-375.', 'Increased cyclone duration from 0.4/0.7/1/1.3/1.6/1.9/2.2 to 0.6/0.85/1.1/1.35/1.6/1.85/2.1.', 'Reduced damage from 190.76-375.32 to 120-375.', ' Alacrity\nNow requires Wex Wex Exort to be invoked, instead of Wex Wex Wex.\nNow also grants 20/30/40/50/60/70/80 attack damage based on Exort.\nReduced attack speed bonus from 40/60/80/100/120/140/160 to 30/40/50/60/70/80/90.\nIncreased duration from 5 to 6.\nReduced mana cost from 125 to 50.\nReduced cooldown from 20 to 15.', 'Now requires Wex Wex Exort to be invoked, instead of Wex Wex Wex.', 'Now also grants 20/30/40/50/60/70/80 attack damage based on Exort.', 'Reduced attack speed bonus from 40/60/80/100/120/140/160 to 30/40/50/60/70/80/90.', 'Increased duration from 5 to 6.', 'Reduced mana cost from 125 to 50.', 'Reduced cooldown from 20 to 15.', ' Sun Strike\nReduced mana cost from 250 to 175.\nReduced cooldown from 60 to 30.', 'Reduced mana cost from 250 to 175.', 'Reduced cooldown from 60 to 30.', ' Forge Spirit\nRecasting the spell now destroys the spirits from the previous cast.\nReduced level requirement of Quas and Exort to spawn 2 spirits from 7 to 4.\nIncreased armor from 1/2/3/4/5/6/7 to 2/3/4/5/6/7/8.\nReduced mana cost from 200 to 75.\nReduced cooldown from 70 to 30.\nFixed a bug with  Melting Strike.', 'Recasting the spell now destroys the spirits from the previous cast.', 'Reduced level requirement of Quas and Exort to spawn 2 spirits from 7 to 4.', 'Increased armor from 1/2/3/4/5/6/7 to 2/3/4/5/6/7/8.', 'Reduced mana cost from 200 to 75.', 'Reduced cooldown from 70 to 30.', 'Fixed a bug with  Melting Strike.', 'Increased  Chaos Meteor cooldown from 30 to 70.', 'Increased  Deafening Blast cooldown from 25 to 40.']"
6.53,"['Fixed  Quas,  Wex and  Exort triggering  Mana Leak.']"
6.52,"[""Fixed  Tornado's damage not being in sync with the cyclone effect.""]"
6.51,"['Fixed a bug with illusions of Invoker.', 'Fixed some lag issues with Invoker.', 'Fixed  Quas,  Wex and  Exort triggering  Last Word.']"
6.50,['Reworked and re-added the second version of Invoker.']
6.18,['Removed Invoker from the game.']
6.10,['Created the first version of Invoker with 27 abilities. (See Old Invoker).']
