7.26c,"['Level 20 left talent: +50  Bloodlust attack speed reduced to +40.', 'Talents:']"
6.76,[' Multicast now also increases  Ignite cast range by 150/300/450 in addition to the radius increase.']
6.75,"['Increased base armor from 3 to 4 (total armor is now 5.96).', ' Bloodlust\nCan now be cast on siege creeps.\nIncreased movement speed bonus from 6%/9%/12%/15% to 10%/12%/14%/16%.', 'Can now be cast on siege creeps.', 'Increased movement speed bonus from 6%/9%/12%/15% to 10%/12%/14%/16%.', 'Reduced  Unrefined Fireblast cooldown from 20 to 10.']"
6.74,"[""Added  Aghanim's Scepter upgrade for Ogre Magi: Gives his other head the ability to cast a more primitive version of  Fireblast.""]"
6.72d,['Increased collision size from 12 to 24.']
6.72c,['Reduced collision size from 24 to 12.']
6.71,"['Increased damage per second from 10/20/30/40 to 26/32/38/44.', 'Increased movement speed slow from 10%/15%/20%/25% to 20%/22%/24%/26%.', 'Reduced duration from 7.5 on each level to 4/5/6/7.', ' Ignite\nIncreased damage per second from 10/20/30/40 to 26/32/38/44.\nIncreased movement speed slow from 10%/15%/20%/25% to 20%/22%/24%/26%.\nReduced duration from 7.5 on each level to 4/5/6/7.']"
6.68,"['Increased  intelligence gain from 1.9 to 2.4.', 'Increased  Fireblast damage from 75/125/175/275 to 80/145/210/275.', 'Reduced  Multicast Fireblast mana cost increase from 30/80/110 to 30/70/110.']"
6.66,"['Reduced  Fireblast cooldown from 15 to 12.', 'Reduced  Multicast Fireblast cooldown reduction from 3/6/9 to 2/4/6.']"
6.61,"['Reduced chance for 2x Multicast from 30%/45%/60% to 20%/40%/50%.', 'Reduced chance for 3x Multicast from 0%/22.5%/30% to 0%/20%/25%.', 'Reduced chance for 4x Multicast from 0%/0%/15% to 0%/0%/12.5%.', ' Multicast\nReduced chance for 2x Multicast from 30%/45%/60% to 20%/40%/50%.\nReduced chance for 3x Multicast from 0%/22.5%/30% to 0%/20%/25%.\nReduced chance for 4x Multicast from 0%/0%/15% to 0%/0%/12.5%.']"
6.60,"['Level 1: 20% chance for 2x ( 30% chance for 3x)', 'Level 2: 20% chance for 3x ( 30% chance for 4x)', 'Level 3: 20% chance for 4x ( 30% chance for 5x)', ""A Multicast  Fireblast is now properly and fully blocked by  Linken's Sphere."", 'Reworked  Multicast chance mechanism']"
6.48b,['Fixed a recent bug with Multicast and Bloodlust.']
6.38,"['Increased base  strength and gain from 22 + 2.75 to 23 + 3.2.', 'Increased base armor from 2 to 3 (total armor is now 4.96).']"
6.36,['Increased base attack damage from 29-35 to 41-47 (total attack damage is now 58-64).']
6.35,['Increased base armor from 1 to 2 (total armor is now 3.96).']
6.34,"[""Fixed a probability error with  Aghanim's Scepter upgraded Multicast.""]"
6.28,['Fixed multicast  Bloodlust never considering Ogre Magi as a target.']
6.21,['Increased  Ignite projectile speed from 700 to 1000.']
6.20,"['Increased  Ignite damage per second from 5/15/25/35 to 10/20/30/40.', 'Reduced  Bloodlust movement speed bonus from 10%/15%/20%/25% to 6%/9%/12%/15%.', ' Multicast\nFixed a bug between Multicast and Bloodlust.\nNo longer increases Bloodlust mana cost by 10/20/50.', 'Fixed a bug between Multicast and Bloodlust.', 'No longer increases Bloodlust mana cost by 10/20/50.']"
6.13,['Increased  Multicast proc chance from 5%/10%/15% ( 10%/15%/20%) to 20% ( 30%) on each level.']
6.10,['Fixed illusions of Ogre Magi increasing the proc chance of  Multicast.']
6.09,"['Increased  Fireblast cooldown from 12 to 15.', ' Multicast\nnow grants a 5%/10%/15% chance for Fireblast and Bloodlust to be cast 2/3/4 times when cast.\nFireblast is cast multiple times on the same target, while Bloodlust is cast on random allies within a 575 radius around Ogre Magi.\nIncreased Fireblast mana cost increase from 10/20/30 to 30/80/110.', 'now grants a 5%/10%/15% chance for Fireblast and Bloodlust to be cast 2/3/4 times when cast.', 'Increased Fireblast mana cost increase from 10/20/30 to 30/80/110.', ""Added  Aghanim's Scepter upgrade for Ogre Magi: Increases  Multicast proc chance from 5%/10%/15% to 10%/15%/20% and number of extra casts from 1/2/3 to 2/3/4.""]"
6.02,"['Increased damage from 75/125/175/225 to 75/125/175/275.', 'Reduced cooldown from 14 to 12.', ' Fireblast\nIncreased damage from 75/125/175/225 to 75/125/175/275.\nReduced cooldown from 14 to 12.']"
6.00,"['Rescaled mana cost from 95 on each level to 75/85/95/105.', 'Increased cooldown from 8 to 14.', ' Fireblast\nRescaled mana cost from 95 on each level to 75/85/95/105.\nIncreased cooldown from 8 to 14.', 'Replaced Lightning Shield with  Ignite']"
5.84,"['Reduced  Fireblast cooldown from 11 to 8.', 'Increased  Multicast Fireblast cooldown increase from 3/14/24 to 8/24/47.']"
5.82,"['Increased base  agility and gain from 8 + 0.6 to 14 + 1.55.', 'Reduced base  intelligence and gain from 23 + 2.8 to 17 + 1.9.', 'Lightning Shield can no longer be cast on self.', 'Reduced  Multicast Lightning Shield mana cost increase from 35/70/105 to 30/60/70.']"
5.80,"['Ogre Magi can now attack flying units.', 'Rescaled  Fireblast mana cost from 75/90/110/135 to 95 on each level.', 'Lightning Shield\nCan now be cast on own units as well.\nIncreased damage per second from 24/36/48/60 to 36/48/60/72.\nIncreased mana cost from 70 to 80.', 'Can now be cast on own units as well.', 'Increased damage per second from 24/36/48/60 to 36/48/60/72.', 'Increased mana cost from 70 to 80.', ' Multicast\nNow works properly for multile Ogres.\nIncreased Fireblast mana cost increase from 80/160/240 to 95/270/430.\nNow increases Fireblast cooldown by 3/14/24.\nNo longer causes Lightning Shield to be cast 2/3/4 times.\nNow increases Lightning Shield damage per second by 12/24/36.\nIncreased Lightning Shield mana cost increase from 20/40/60 to 35/70/105.', 'Now works properly for multile Ogres.', 'Increased Fireblast mana cost increase from 80/160/240 to 95/270/430.', 'Now increases Fireblast cooldown by 3/14/24.', 'No longer causes Lightning Shield to be cast 2/3/4 times.', 'Now increases Lightning Shield damage per second by 12/24/36.', 'Increased Lightning Shield mana cost increase from 20/40/60 to 35/70/105.']"
5.79,"['Reduced Lightning Shield mana cost from 90 to 70.', ' Multicast\nNo longer reduces Fireblast damage by 25/50/50.\nReduced Lightning Shield mana increase from 40/80/120 to 20/40/60.', 'No longer reduces Fireblast damage by 25/50/50.', 'Reduced Lightning Shield mana increase from 40/80/120 to 20/40/60.', ""Added  Aghanim's Scepter upgrade for Ogre Magi: Increases number of multicasts from 1/2/3 to 2/3/4""]"
5.78,"['Renamed to Fireblast.', 'No longer uses a disjointable projectile.', ' Firebolt\nRenamed to Fireblast.\nNo longer uses a disjointable projectile.', 'Lightning Shield\nCan now be cast on allied units as well.\nFixed Ogre Magi not getting kill credits when a unit dies to Lightning Shield.\nIncreased damage per second from 12/24/36/48 to 24/36/48/60.', 'Can now be cast on allied units as well.', 'Fixed Ogre Magi not getting kill credits when a unit dies to Lightning Shield.', 'Increased damage per second from 12/24/36/48 to 24/36/48/60.', ' Multicast now increases Fireblast stun duration by 0/0/0.5.']"
5.77,['Reduced  Multicast Firebolt damage reduction from 25/50/75 to 25/50/50.']
5.76,['Created.']
