7.26c,"['Level 15 left talent: +60  Fade Bolt hero attack damage reduction increased to +80.', 'Talents:']"
6.87,"['Increased turn rate from 0.5 to 0.7.', 'Increased  Fade Bolt base damage from 70/140/210/280 to 75/150/225/300.', 'Increased  Null Field magic resistance bonus from 5%/10%/15%/20% to 10%/14%/18%/22%.']"
6.86,"['Increased hero attack damage reduction from 14/20/26/32 to 20/25/30/35.', 'Increased non-hero attack damage reduction from 7/10/13/16 to 10/13/15/17.', ' Fade Bolt\nIncreased hero attack damage reduction from 14/20/26/32 to 20/25/30/35.\nIncreased non-hero attack damage reduction from 7/10/13/16 to 10/13/15/17.']"
6.84,[' Null Field now also affects creeps.']
6.83,"['Reduced  Fade Bolt mana cost from 150 on each level to 120/130/140/150.', 'Stolen spells no longer get refreshed when they get restolen after having a different spell in-between.', ""Reduced  Aghanim's Scepter upgraded  Spell Steal cooldown from 5 to 2.""]"
6.79,"['Increased  Telekinesis cooldown from 18 to 22.', "" Spell Steal can no longer steal the Aghanim's Scepter upgrade of the enemy if they have a scepter and Rubick doesn't."", ""Added  Aghanim's Scepter upgrade for Rubick: Reduces  Spell Steal cooldown from 20/18/16 to 5 on each level, increases cast range from 1000 to 1400 and makes all stolen spells be considered to have their Aghanim's Scepter upgrade.""]"
6.76,['Reduced  Fade Bolt damage from 75/150/225/300 to 70/140/210/280.']
6.75,"['Reduced movement speed from 300 to 290.', 'Reduced  Fade Bolt bounce radius from 500 to 440.']"
6.74,"[""Added to Captain's Mode.""]"
6.73,"['Reduced  Telekinesis mana cost from 160 to 120.', ' Fade Bolt\nIncreased mana cost from 90/95/100/105 to 150 on each level.\nIncreased cooldown from 10 on each level to 16/14/12/10.', 'Increased mana cost from 90/95/100/105 to 150 on each level.', 'Increased cooldown from 10 on each level to 16/14/12/10.']"
6.72d,['Fixed a bug with  Spell Steal projectile reaching Rubick while dead.']
6.72c,"['Fixed being able to get units stuck with  Telekinesis.', 'Reduced  Fade Bolt bounce radius from 600 to 500.', 'Fixed interaction between  Spell Steal and  Whirling Axes.']"
6.72b,"['Fixed  Telekinesis interaction with  Elder Dragon Form.', 'Fixed  Cheese and the lowest level of  Black King Bar being stealable.']"
6.72,['Created.']
