7.26c,"['Level 15 left talent: -1.5s  Crystal Nova cooldown increased to -2s.', 'Talents:']"
7.21,"['Increased  intelligence gain from 2.9 to 3.3.', '[U] Increased base attack damage from 28-34 to 30-36.', ' Arcane Aura\nReduced allied mana regen bonus from 1.2/1.7/2.2/2.7 to 1/1.5/2/2.5.\nIncreased self mana regen bonus from 2.4/4.4/6.4/8.4 to 2.5/4.5/6.5/8.5.', 'Reduced allied mana regen bonus from 1.2/1.7/2.2/2.7 to 1/1.5/2/2.5.', 'Increased self mana regen bonus from 2.4/4.4/6.4/8.4 to 2.5/4.5/6.5/8.5.', ' Freezing Field now grants 10 armor to the caster while channeling.']"
7.20,"['Increased  strength gain from 2 to 2.2.', 'Increased base attack damage from 26-32 to 28-34.', 'Reduced base health regeneration from 1.5 to 0.', 'Reduced base mana regeneration from 0.9 to 0.', ' Frostbite\nNo longer applies a 0.1 second mini-stun on cast.\nIncreased cast range from 525 to 550.', 'No longer applies a 0.1 second mini-stun on cast.', 'Increased cast range from 525 to 550.', ' Arcane Aura\nIncreased allied mana regen bonus from 0.8/1/1.2/1.4 to 1.2/1.7/2.2/2.7.\nIncreased self mana regen bonus from 1.8/2.6/3.4/4.2 to 2.4/4.4/6.4/8.4.', 'Increased allied mana regen bonus from 0.8/1/1.2/1.4 to 1.2/1.7/2.2/2.7.', 'Increased self mana regen bonus from 1.8/2.6/3.4/4.2 to 2.4/4.4/6.4/8.4.', 'Reduced  Freezing Field cast time from 0.3 to 0.']"
7.19c,['Reduced  Arcane Aura allied mana regen bonus from 0.8/1/1.2/1.4 to 0.7/0.9/1.1/1.3.']
7.19b,['Increased  Crystal Nova mana cost from 130/140/150/160 to 130/145/160/175.']
7.19,['Increased  Crystal Nova mana cost from 100/120/140/160 to 130/140/150/160.']
7.18,"['Increased  Crystal Nova damage from 100/150/200/250 to 130/170/210/260.', 'Increased  Arcane Aura mana regen bonus on self from 1.6/2.4/3.2/4 to 1.8/2.6/3.4/4.2.']"
7.17,"['Level 15 left talent: +120 gold per minute increased to +150.', 'Reduced  Crystal Nova cooldown from 12/11/10/9 to 11/10/9/8.', 'Talents:']"
7.16,"['Increased base attack damage from 24-30 to 26-32.', 'Increased  Arcane Aura mana regen bonus on self from 1.3/2.2/3.1/4 to 1.6/2.4/3.2/4.']"
7.15,"['Reduced base  intelligence from 16 to 14.', 'Increased base attack damage from 22-28 to 24-30.']"
7.14,"['Increased base armor from -1 to 0.', 'Increased  Freezing Field attack speed slow from 30 to 60.']"
7.13b,['Increased base  strength from 16 to 18.']
7.12,"['Increased base attack damage from 19-25 to 22-28.', 'Increased  Arcane Aura mana regen bonus on self from 1/2/3/4 to 1.3/2.2/3.1/4.']"
7.10,"['Level 10 right talent: +250 health increased to +250.', 'Level 15 left talent: +90 gold per minute increased to +120.', 'Talents:']"
7.07,"['Level 10: +60 attack damage or +15% magic resistance', 'Level 15: +250 health or +125 cast range', 'Level 20: +50  Freezing Field damage per explosion or +120 gold per minute', 'Level 25: +300  Crystal Nova damage or +1.5s  Frostbite duration', 'Increased base health regeneration from 0 to 1.5.', 'Increased base mana regeneration from 0.01 to 0.9.', ' Arcane Aura\nReduced mana regen bonus from 1/1.5/2/3 to 0.8/1/1.2/1.4.\nReduced mana regen bonus on self from 2/3/4/8 to 1/2/3/4.', 'Reduced mana regen bonus from 1/1.5/2/3 to 0.8/1/1.2/1.4.', 'Reduced mana regen bonus on self from 2/3/4/8 to 1/2/3/4.', 'Reworked talents:']"
7.06d,['Increased  Frostbite mana cost from 115/125/140/150 to 140/145/150/155.']
7.06c,['Reduced movement speed from 280 to 275.']
7.06,"['Level 20 left talent changed: -35s respawn time -> +50  Freezing Field damage per explosion.', 'Increased  strength gain from 1.7 to 2.', 'Reduced base health regeneration from 0.25 to 0.', "" Freezing Field\nFixed  Frostbite applied by Aghanim's Scepter upgraded Freezing Field not interrupting enemies.\nIncreased cooldown from 90 on each level to 110/100/90."", ""Fixed  Frostbite applied by Aghanim's Scepter upgraded Freezing Field not interrupting enemies."", 'Increased cooldown from 90 on each level to 110/100/90.', 'Talents:']"
7.03,"['Level 25 left talent: +250  Crystal Nova damage increased to +300.', 'Talents:']"
7.02,"['Level 10 left talent: +50 attack damage increased to +60.', 'Level 15 left talent: +200 health increased to +250.', 'Level 25 left talent: +200  Crystal Nova damage increased to +250.', 'Talents:']"
7.00,"['Level 10: +50 attack damage or +15% magic resistance', 'Level 15: +200 health or +125 cast range', 'Level 20: -35s respawn time or +120 gold per minute', 'Level 25: +200  Crystal Nova damage or +1.5s  Frostbite duration', 'No longer increases  Freezing Field damage from 105/170/250 to 170/250/310.', 'No longer increases Freezing Field movement speed slow from 30% to 50%.', 'No longer increases Freezing Field attack speed slow from 30 to 50.', 'Now causes  Freezing Field to apply  Frostbite to any unit that has been standing in the Freezing Field for over 2.5 seconds. [?]', ""Reworked Crystal Maiden's  Aghanim's Scepter upgrade.\nNo longer increases  Freezing Field damage from 105/170/250 to 170/250/310.\nNo longer increases Freezing Field movement speed slow from 30% to 50%.\nNo longer increases Freezing Field attack speed slow from 30 to 50.\nNow causes  Freezing Field to apply  Frostbite to any unit that has been standing in the Freezing Field for over 2.5 seconds. [?]"", 'Added talents:']"
6.88,"['Increased  Crystal Nova radius from 400 to 425.', 'Increased  Frostbite cast range from 500 to 525.']"
6.87,"['Reduced  Crystal Nova cooldown from 12 on each level to 12/11/10/9.', 'Increased  Arcane Aura mana regen bonus on self from 2/3/4/6 to 2/3/4/8.']"
6.86,"['Reduced  Crystal Nova cooldown from 13 to 12.', 'Increased  Arcane Aura mana regen bonus from 1/1.5/2/2.5 to 1/1.5/2/3 (2/3/4/5 to 2/3/4/6 on self).']"
6.85,['Reduced  Crystal Nova cooldown from 15 to 13.']
6.84,"['Rescaled movement speed slow from 30% on each level to 20%/30%/40%/50%.', 'Rescaled attack speed slow from 30 on each level to 20/30/40/50.', 'Rescaled slow duration from 3.5/4/4.5/5 to 4.5.', ' Crystal Nova\nRescaled movement speed slow from 30% on each level to 20%/30%/40%/50%.\nRescaled attack speed slow from 30 on each level to 20/30/40/50.\nRescaled slow duration from 3.5/4/4.5/5 to 4.5.', 'Reduced  Frostbite cooldown from 10/9/8/7 to 9/8/7/6.', 'Reduced  Freezing Field cooldown from 150/120/90 to 90.']"
6.83,"['Increased  Crystal Nova attack speed slow from 20 to 30.', 'Reduced  Frostbite cooldown from 10 to 10/9/8/7.', ' Freezing Field\nIncreased max channel time from 7 to 10.\nIncreased explosion max spawn distance from 635 to 785.\nIncreased explosion damage radius from 250 to 300.', 'Increased max channel time from 7 to 10.', 'Increased explosion max spawn distance from 635 to 785.', 'Increased explosion damage radius from 250 to 300.']"
6.82,"['Reduced damage per interval from 70 to 50.', 'Reduced damage interval from 1 to 0.5.', ' Frostbite\nReduced damage per interval from 70 to 50.\nReduced damage interval from 1 to 0.5.\nTotal damage changes from 70/140/140/210 to 150/200/250/300.', 'Increased  Freezing Field explosion damage radius from 230 to 250.']"
6.80,['Reduced base  intelligence from 19 to 16.']
6.79c,"['Reduced base  intelligence from 21 to 19.', 'Increased base attack damage from 17-23 to 19-25 (total attack damage is still 38-44 due to the intelligence reduction).']"
6.79,"['Increased  Freezing Field attack speed slow from 20 to 30.', ""Increased  Aghanim's Scepter upgraded  Freezing Field movement speed slow from 30% to 50%.""]"
6.78,"['Increased  Arcane Aura mana regen bonus from 0.5/1/1.5/2 to 1/1.5/2/2.5 (1/2/3/4 to 2/3/4/5 on self).', 'Increased  Freezing Field explosion damage radius from 215 to 230.', ""Increased  Aghanim's Scepter upgraded  Freezing Field attack speed slow from 20 to 50.""]"
6.76,[' Arcane Aura now has twice the effect on Crystal Maiden (1/2/3/4 regen instead of 0.5/1/1.5/2).']
6.75,['Increased  Freezing Field duration from 4 to 7.']
6.74,"['Increased explosion max spawn distance from 535 to 635.', 'Increased explosion damage radius from 190 to 215.', ' Freezing Field\nIncreased explosion max spawn distance from 535 to 635.\nIncreased explosion damage radius from 190 to 215.']"
6.72c,['Changed  Freezing Field legacy hotkey from Z to F.']
6.72,['Reduced  Freezing Field mana cost from 300/400/600 to 200/400/600.']
6.69,"['Increased damage from 80/130/180/230 to 100/150/200/250.', 'Reduced slow duration from 5 on each level to 3.5/4/4.5/5.', ' Crystal Nova\nIncreased damage from 80/130/180/230 to 100/150/200/250.\nReduced slow duration from 5 on each level to 3.5/4/4.5/5.']"
6.60,['Replaced Frost Nova with  Crystal Nova']
6.55,"['Increased  Arcane Aura mana regen bonus from 0.6/1.2/1.8/2.4 to 0.75/1.5/2.25/3.', 'Fixed some performance issues with  Freezing Field.']"
6.54,"['Now slows all enemy units in a 685 radius around Crystal Maiden, instead of only slowing enemies hit by an explosion.', 'Reduced slow duration from 4 to 0.5.', 'Now has a minimum spawn radius of 195. Explosions only spawn between this and the maximum (535) radius.', 'Changed explosion spawning system from randomly within the radius to spawn in a certain pattern.\nThe radius is now divided into 4 segments. The first explosion occurs within the north-east segment of the circle. The next occurs in the north-west segment, proceeding counterclockwise.', ' Freezing Field\nNow slows all enemy units in a 685 radius around Crystal Maiden, instead of only slowing enemies hit by an explosion.\nReduced slow duration from 4 to 0.5.\nNow has a minimum spawn radius of 195. Explosions only spawn between this and the maximum (535) radius.\nChanged explosion spawning system from randomly within the radius to spawn in a certain pattern.\nThe radius is now divided into 4 segments. The first explosion occurs within the north-east segment of the circle. The next occurs in the north-west segment, proceeding counterclockwise.']"
6.49,['Increased  Arcane Aura radius from 400 to global.']
6.42,"[""Now stacks with  Ring of Basilius' aura."", 'Increased mana regen bonus from 0.33/0.67/1/1.33 to 0.6/1.2/1.8/2.4.', "" Arcane Aura\nNow stacks with  Ring of Basilius' aura.\nIncreased mana regen bonus from 0.33/0.67/1/1.33 to 0.6/1.2/1.8/2.4.""]"
6.35,"['Fixed some lag issues with  Freezing Field.', ""Fixed an issue with Crystal Madien's  Aghanim's Scepter upgrade.""]"
6.29,['Fixed a bug with  Freezing Field and dummy units.']
6.20,"['Increased damage per second from 60 to 70.', 'Reduced duration from 2/2.5/3/3.5 to 1.5/2/2.5/3.', ' Frostbite\nIncreased damage per second from 60 to 70.\nReduced duration from 2/2.5/3/3.5 to 1.5/2/2.5/3.', 'Fixed  Freezing Field starting to spawn ice explosions before reaching the cast point.']"
6.19b,['Fixed some bugs on  Freezing Field.']
6.17,"['Fixed Freezing Field dummies sometimes giving gold to enemies.', 'Recoded so that multiple instances of the spell can run at the same time (same hero mode).', ' Freezing Field\nFixed Freezing Field dummies sometimes giving gold to enemies.\nRecoded so that multiple instances of the spell can run at the same time (same hero mode).']"
6.10,"['Changed Frost Nova legacy hotkey from F to V.', 'Fixed some memory issues on  Freezing Field.']"
6.05,['Fixed a control loss bug when  Frostbite gets reflected.']
6.02,['Increased base attack damage from 2-8 to 17-23 (total attack damage is now 38-44).']
6.00,"['Reduced Acquisition range from 650 to 600.', 'Increased movement speed from 278 to 280.', 'Reduced base attack damage from 17-33 to 2-8 (total attack damage is now 23-29).', 'Reduced attack projectile speed from 1300 to 900.']"
5.72,['Increased  Freezing Field cooldown from 150/120/60 to 150/120/90.']
5.67,['Reduced  Frost Nova (pre 6.60) area damage from 75/100/125/150 to 75/100/125/125.']
5.65,['Reduced  Freezing Field slow duration from 4 to 3.75.']
5.62,"['Rescaled hero total damage from 80/100/120/140 to 120/150/180/210.', 'Rescaled creep total damage from 400 to 600.', ' Frostbite\nRescaled hero total damage from 80/100/120/140 to 120/150/180/210.\nRescaled creep total damage from 400 to 600.']"
5.61,"['Increased mana cost from 100/125/150/175 to 100/130/155/185.', 'Increased cooldown from 10 to 11.', ' Frost Nova (pre 6.60)\nIncreased mana cost from 100/125/150/175 to 100/130/155/185.\nIncreased cooldown from 10 to 11.', "" Freezing Field\nReduced damage from 110/180/265 ( Aghanim's Scepter 180/265/330) to 105/170/250 ( Aghanim's Scepter 170/250/310).\nIncreased explosion spawn radius min from 115 to 125.\nIncreased explosion spawn radius max from 625 to 635."", ""Reduced damage from 110/180/265 ( Aghanim's Scepter 180/265/330) to 105/170/250 ( Aghanim's Scepter 170/250/310)."", 'Increased explosion spawn radius min from 115 to 125.', 'Increased explosion spawn radius max from 625 to 635.']"
5.58,"['Reduced base attack time from 1.75 to 1.70.', 'Increased base attack damage from 16-24 to 17-33.', 'Reduced  strength gain from 1.80 to 1.70.', 'Increased base  agility from 15 to 16.', 'Increased base  intelligence from 20 to 21.', 'Reduced  intelligence gain from 3.00 to 2.90.', ' Frost Nova (pre 6.60)\nIncreased area damage from 50/75/100/125 to 75/100/125/150.\nIncreased duration from 2.8 to 4.\nReduced movement speed slow from 40% to 30%.', 'Increased area damage from 50/75/100/125 to 75/100/125/150.', 'Increased duration from 2.8 to 4.', 'Reduced movement speed slow from 40% to 30%.', "" Freezing Field\nReduced damage from 115/190/300 ( Aghanim's Scepter 190/300/390) to 110/180/265 ( Aghanim's Scepter 180/265/330).\nReduced movement speed slow from 40% to 30%\nIncreased Explosion Spawn Radius Min from 75 to 115"", ""Reduced damage from 115/190/300 ( Aghanim's Scepter 190/300/390) to 110/180/265 ( Aghanim's Scepter 180/265/330)."", 'Reduced movement speed slow from 40% to 30%', 'Increased Explosion Spawn Radius Min from 75 to 115']"
5.57,"[""Reduced  Freezing Field damage from 115/200/325 ( Aghanim's Scepter 200/325/470) to 115/190/300 ( Aghanim's Scepter 190/300/390).""]"
5.55,"['Reduced primary damage from 50/100/200/250 to 50/100/125/175.', 'Reduced area damage from 50/100/100/150 to 50/75/100/125.', 'Reduced mana cost from 100/125/150/200 to 100/125/150/175.', 'Reduced duration from 3 to 2.8.', ' Frost Nova (pre 6.60)\nReduced primary damage from 50/100/200/250 to 50/100/125/175.\nReduced area damage from 50/100/100/150 to 50/75/100/125.\nReduced mana cost from 100/125/150/200 to 100/125/150/175.\nReduced duration from 3 to 2.8.', ' Frostbite\nRescaled hero total damage from 40/90/120/180 to 80/100/120/140.\nIncreased hero duration from 2/3/3/3 to 2/2.5/3/3.5.\nRescaled creep total damage from 200/300/400/600 to 400.\nReduced mana cost from 115/125/150/165 to 115/125/140/150.', 'Rescaled hero total damage from 40/90/120/180 to 80/100/120/140.', 'Increased hero duration from 2/3/3/3 to 2/2.5/3/3.5.', 'Rescaled creep total damage from 200/300/400/600 to 400.', 'Reduced mana cost from 115/125/150/165 to 115/125/140/150.', 'Reduced  Arcane Aura radius from 900 to 300.']"
5.53,"['Reduced base  strength from 22 to 20.', 'Reduced base  agility from 17 to 15.', 'Reduced  intelligence gain from 3.40 to 3.00.', ' Frost Nova (pre 6.60)\nAdded Primary Damage to Frost Nova.\nPrimary Damage: 50/100/200/250.\nReduced area damage from 90/180/270/360 to 50/100/100/150.\nReduced mana cost from 100/125/150/170 to 100/125/150/200.\nReduced cast range from 650 to 600.\nReduced duration from 5 to 3.', 'Added Primary Damage to Frost Nova.', 'Primary Damage: 50/100/200/250.', 'Reduced area damage from 90/180/270/360 to 50/100/100/150.', 'Reduced mana cost from 100/125/150/170 to 100/125/150/200.', 'Reduced cast range from 650 to 600.', 'Reduced duration from 5 to 3.', ' Frostbite\nIncreased hero total damage from 60/90/120/150 to 40/90/120/180.\nReduced hero duration from 3 to 2/3/3/3.\nReduced creep total damage from 200/300/400/500 to 200/300/400/600.', 'Increased hero total damage from 60/90/120/150 to 40/90/120/180.', 'Reduced hero duration from 3 to 2/3/3/3.', 'Reduced creep total damage from 200/300/400/500 to 200/300/400/600.', 'Reduced  Arcane Aura mana regen bonus from 0.5/1.0/1.5/2.0 to 0.33/0.67/1.00/1.33.', ""Reduced  Freezing Field damage from 120/210/340 ( Aghanim's Scepter 210/340/490) to 115/200/325 ( Aghanim's Scepter 200/325/470)""]"
5.50,"['Increased base HP from 100 to 150.', 'Updated Attack Projectile Model.', 'Increased Projectile Speed from 1100 to 1300.', ""Increased  Freezing Field damage from 120/200/300 ( Aghanim's Scepter 200/300/480) to 120/210/340 ( Aghanim's Scepter 210/340/490).""]"
5.40,"[""Added  Aghanim's Scepter Upgrade for Crystal Maiden: Increases  Freezing Field damage from 120/200/300 to 200/300/480.""]"
5.35,['Increased  Freezing Field damage from 110/180/300 to 120/200/330.']
5.32,['Reduced  Frost Nova (pre 6.60) cast range from 800 to 650.']
5.31,"['Increased damage from 110/170/250 to 110/180/300.', 'Increased mana cost from 300/400/550 to 300/400/600.', 'Rescaled cooldown from 120 to 150/120/60.', ' Freezing Field\nIncreased damage from 110/170/250 to 110/180/300.\nIncreased mana cost from 300/400/550 to 300/400/600.\nRescaled cooldown from 120 to 150/120/60.']"
5.10,"['Increased  Frostbite mana cost from 115/125/135/135 to 115/125/150/165.', 'Increased  Freezing Field mana cost from 300 to 300/400/550.']"
4.10,['Increased  Freezing Field max channel time from 3 to 4.']
4.0beta5,"['Rescaled  Frost Nova (pre 6.60) mana cost from 170 to 100/125/150/170.', 'Rescaled  Frostbite mana cost from 135 to 115/125/135/135.']"
4.0beta2,"['Causes many random icy explosions in an area surrounding Rylai.', 'Max Channel Time: 3', 'Explosion Spawn Radius Min: 75', 'Explosion Spawn Radius Max: 625', 'Explosion Damage Radius: 190', 'Damage: 110/170/250', 'Move Speed Slow: 20%', 'Attack Speed Slow: 40', 'Slow Duration: 4', 'Explosion Interval: 0.1', 'Mana Cost: 300', 'Cooldown: 120', 'Added a 4th level to all basic abilties', ' Frost Nova (pre 6.60)\nRescaled area damage from 125/225/325 to 90/180/270/360.\nIncreased slow duration from 2/3/4 to 5.\nIncreased mana cost from 125 to 170.\nReduced cooldown from 15 to 10.', 'Rescaled area damage from 125/225/325 to 90/180/270/360.', 'Increased slow duration from 2/3/4 to 5.', 'Increased mana cost from 125 to 170.', 'Reduced cooldown from 15 to 10.', ' Frostbite\nReduced cast range from 550 to 500.\nIncreased hero total damage from 15/45/150 to 60/90/120/150.\nIncreased hero duration from 1.5/2.5/3 to 3.\nReduced creep total damage from 30/90/300 to 200/300/400/500.\nReduced creep duration from 6/9/12 to 10.\nIncreased mana cost from 90 to 135.\nReduced cooldown from 15 to 10.', 'Reduced cast range from 550 to 500.', 'Increased hero total damage from 15/45/150 to 60/90/120/150.', 'Increased hero duration from 1.5/2.5/3 to 3.', 'Reduced creep total damage from 30/90/300 to 200/300/400/500.', 'Reduced creep duration from 6/9/12 to 10.', 'Increased mana cost from 90 to 135.', 'Rescaled  Arcane Aura mana regen bonus from 1/2/3 to 0.5/1.0/1.5/2.0.', 'Replaced  Snow Storm with  Freezing Field']"
3.2j,"['Update Attack Projectile', 'Increased attack projectile speed from 900 to 1100.', 'Reduced base attack damage from 20-20 to 16-22.', 'Reduced  Snow Storm radius from 600 to 400.']"
3.00d,['Reduced  Frost Nova (pre 6.60) attack speed slow from 25 to 20.']
2.60,"[""Encases the target's legs in a brick of ice, dealing minor damage and holding him in place."", 'Cast Range: 550', 'Damage Interval: 1', 'Hero Total Damage: 15/45/150', 'Creep Total Damage: 30/90/300', 'Hero Duration: 3/4.5/6', 'Creep Duration: 6/9/12', 'Mana Cost: 90', 'Cooldown: 15', 'Fixed Crystal Maiden using Bat Rider Model.', 'Update Attack Projectile Model.', 'Increased base attack damage from 10-10 to 20-20.', 'Reduced base attack time from 2.50 to 1.75.', 'Increased  intelligence gain from 3.20 to 3.40.', 'Reduced movement speed from 300 to 278.', ' Frost Nova (pre 6.60)\nReduced area damage from 150/275/400 to 125/225/325\nIncreased cooldown from 8 to 15.\nReduced mana cost from 125/150/175 to 125', 'Reduced area damage from 150/275/400 to 125/225/325', 'Increased cooldown from 8 to 15.', 'Reduced mana cost from 125/150/175 to 125', 'Replaced  Ice Armor with  Frostbite']"
0.96b,"['Increased base  strength from 15 to 17.', 'Increased  strength gain from 1.50 to 1.80.', 'Increased  agility gain from 1.50 to 1.60.', 'Increased base  intelligence from 19 to 22.', ' Frost Nova (pre 6.60)\nFrost Nova no longer deals primary damage.\nIncreased Frost Nova area damage from 75/125/200 to 150/275/400.', 'Frost Nova no longer deals primary damage.', 'Increased Frost Nova area damage from 75/125/200 to 150/275/400.']"
0.60,['Created.']
