7.26c,"['Level 25 right talent: -60s  Primal Split cooldown increased to -65s.', 'Talents:']"
7.20c,"['Level 25 left talent: +200%  Drunken Brawler critical damage reduced to +175%.', 'Now ignites when the target takes a damage instance greater than 80 (before reductions), instead of only triggering on certain fire-based spells.', 'The ignition now uses a separate debuff, instead of being a part of the main debuff.', 'The ignition can now trigger multiple times (refreshing the damage duration), until the brew debuff expires.', ""The ignition no longer refreshes Cinder Brew's duration."", 'Rescaled ignition damage per second from 10/25/40/55 to 20/25/30/35.', 'Reduced ignition duration from 7 to 3.', "" Cinder Brew\nNow ignites when the target takes a damage instance greater than 80 (before reductions), instead of only triggering on certain fire-based spells.\nThe ignition now uses a separate debuff, instead of being a part of the main debuff.\nThe ignition can now trigger multiple times (refreshing the damage duration), until the brew debuff expires.\nThe ignition no longer refreshes Cinder Brew's duration.\nRescaled ignition damage per second from 10/25/40/55 to 20/25/30/35.\nReduced ignition duration from 7 to 3."", 'Talents:']"
7.20,"['Increased  agility gain from 1.95 to 2.', 'Increased  intelligence gain from 1.25 to 1.6.', 'Increased movement speed from 295 to 305.', 'Reduced base health regeneration from 2 to 0.5.', 'Reduced base mana regeneration from 0.9 to 0.', 'Reduced  Thunder Clap mana cost from 90/105/130/150 to 90/100/110/120.', 'Replaced  Drunken Haze with  Cinder Brew']"
7.14,['Increased  Permanent Immolation damage from 15/30/45 to 20/40/60.']
7.13b,"['Reduced base armor from -1 to -2.', 'Reduced movement speed from 300 to 295.']"
7.07d,['Increased  Drunken Haze cooldown from 8/7/6/5 to 11/9/7/5.']
7.07c,['Reduced  Earth armor from 5 to 3.']
7.07,"['Level 10: +3 mana regen or +30 attack damage', 'Level 15: +15% magic resistance or +75  Thunder Clap damage', 'Level 20: +20  strength or +2s  Thunder Clap slow duration', 'Level 25: +2000  Primal Split brewlings health or +140 attack speed', 'Increased base health regeneration from 0.5 to 2.', 'Increased base mana regeneration from 0.01 to 0.9.', 'Reworked talents:']"
7.06e,"['Level 10 right talent changed: +30 attack speed -> +30 attack damage.', 'Level 25 right talent changed: +120 attack damage -> +140 attack speed.', 'Increased  Fire health from 1200 to 1300.', 'Talents:']"
7.06,"['Level 20 right talent changed: -40s respawn time -> +2s  Thunder Clap slow duration.', 'Increased  strength gain from 2.9 to 3.2.', 'Reduced base health regeneration from 0.75 to 0.5.', ' Drunken Haze\nReduced cast time from 0.3 to 0.2.\nIncreased duration from 4 to 4.5.', 'Reduced cast time from 0.3 to 0.2.', 'Increased duration from 4 to 4.5.', 'Increased  Drunken Brawler critical damage from 200% to 230%.', 'Reduced  Hurl Boulder cast time from 0.4 to 0.25.', 'Talents:']"
7.05,"['Level 15 left talent: +12% magic resistance increased to +15%.', 'Level 20 right talent: -35s respawn time increased to -40s.', 'Level 25 right talent: +75 attack damage increased to +120.', 'Level 25 left talent changed: +20  Primal Split brewlings armor -> +2000  Primal Split brewlings health.', ' Demolish now grants a flat 90/180/270 attack damage bonus, instead of increasing total attack damage by 300%.', ""Reduced  Earth's base attack time from 1.35 to 1.25."", 'Talents:']"
7.04,['Reduced  Drunken Brawler ensured critical strike/evasion cooldown from 16/14/12/10 to 13/12/11/10.']
7.03,"['Level 15 left talent: +10% magic resistance increased to +12%.', 'Talents:']"
7.02,"['Level 10 right talent: +25 attack speed increased to +30.', 'Level 15 right talent changed: +20 movement speed -> +75  Thunder Clap damage.', 'Level 20 right talent: -25s respawn time increased to -35s.', 'Level 25 left talent: +14  Primal Split brewlings armor increased to +20.', ' Fire now has phasing movement.', 'Talents:']"
7.00,"['Level 10: +3 mana regen or +25 attack speed', 'Level 15: +10% magic resistance or +20 movement speed', 'Level 20: +20  strength or -25s respawn time', 'Level 25: +14  Primal Split brewlings armor or +75 attack damage', 'Now uses a projectile which travels at a speed of 1600, instead of being instant. [?]', 'No longer has a 200 effect radius.', 'Reduced cast time from 0.4 to 0.3.', 'Rescaled movement speed slow from 14%/18%/22%/26% to 10%/20%/30%/40%.', 'Rescaled miss chance from 45%/55%/65%/75% to 70%.', 'Reduced duration from 8 to 4.', 'Reduced creep duration from 12 to 4. [?]', 'Reduced mana cost from 50 to 25.', ' Drunken Haze\nNow uses a projectile which travels at a speed of 1600, instead of being instant. [?]\nNo longer has a 200 effect radius.\nReduced cast time from 0.4 to 0.3.\nRescaled movement speed slow from 14%/18%/22%/26% to 10%/20%/30%/40%.\nRescaled miss chance from 45%/55%/65%/75% to 70%.\nReduced duration from 8 to 4.\nReduced creep duration from 12 to 4. [?]\nReduced mana cost from 50 to 25.', 'Increased  Demolish damage bonus from 150% to 300%.', 'Increased  Dispel Magic damage to summons from 850 to 1000.', 'Increased  Fire movement speed from 522 to 550 on each level.', 'Added talents:']"
6.88b,"['Increased  Hurl Boulder damage from 50 on each level to 50/100/150.', 'Increased  Dispel Magic damage to summons from 500 to 850.']"
6.88,"['Increased  Earth attack range from 128 to 150.', ' Fire\nIncreased attack range from 128 to 150.\nIncreased armor from 0 on each level to 0/3/6.', 'Increased attack range from 128 to 150.', 'Increased armor from 0 on each level to 0/3/6.', 'Increased  Primal Split duration from 15/17/19 to 16/18/20.']"
6.87,"['Increased attack range from 128 to 150.', ' Earth\nChanged attack damage type from Pierce to Hero.\nChanged armor type from Strong to Hero.\nReduced attack damage from 37-43/75-84/159-171 to 25-35/55-65/85-95.', 'Changed attack damage type from Pierce to Hero.', 'Changed armor type from Strong to Hero.', 'Reduced attack damage from 37-43/75-84/159-171 to 25-35/55-65/85-95.', ' Storm\nChanged attack damage type from Pierce to Hero.\nChanged armor type from Strong to Hero.\nReduced attack damage from 37-43/75-84/159-171 to 15-25/35-45/55-65.', 'Reduced attack damage from 37-43/75-84/159-171 to 15-25/35-45/55-65.', ' Fire\nChanged armor type from Strong to Hero.\nRescaled attack damage from 72-82/115-130/144-164 to 75-85/115-125/155-165. [?]', 'Rescaled attack damage from 72-82/115-130/144-164 to 75-85/115-125/155-165. [?]', 'Replaced  Pulverize with  Demolish']"
6.86,"['Reduced  Drunken Haze cooldown from 8 on each level to 8/7/6/5.', ' Dispel Magic\nIncreased damage to summoned units from 200 to 500.\nReduced cooldown from 6 to 4.', 'Increased damage to summoned units from 200 to 500.', 'Reduced cooldown from 6 to 4.', 'Reduced  Wind Walk cooldown from 7 to 5.']"
6.85,"['Reduced  Hurl Boulder cooldown from 7 to 5.', ' Dispel Magic\nIncreased radius from 200 to 600.\nReduced cooldown from 8 to 6.', 'Increased radius from 200 to 600.', 'Reduced cooldown from 8 to 6.']"
6.84,"[' Primal Split brewlings no longer grant 11-15/11-15/31-35 gold and 196/242/242 experience.', ' Permanent Immolation no longer ignores ancient creeps, Roshan and creep-heroes.']"
6.83b,['Reduced  Hurl Boulder damage from 100 to 50.']
6.83,"['Reduced base armor from 1 to -1 (total armor is now 2.08).', ' Thunder Clap\nReduced Hero slow duration from 4.25 to 4.\nIncreased cooldown from 12 to 13.', 'Reduced Hero slow duration from 4.25 to 4.', 'Increased cooldown from 12 to 13.']"
6.82c,"['Increased cast time increased from 0.4 to 0.65.', 'Reduced Split delay (the invulnerable phase right after the cast time) from 0.85 to 0.6.', ' Primal Split\nIncreased cast time increased from 0.4 to 0.65.\nReduced Split delay (the invulnerable phase right after the cast time) from 0.85 to 0.6.']"
6.82,['Increased  Drunken Brawler ensured critical strike/evasion cooldown from 10 to 16/14/12/10.']
6.81,"['Now always procs a critical strike on the next attack, if Brewmaster did not attack in the last 10 seconds.', 'Now always evades the next attack, if Brewmaster was not attacked in the last 10 seconds. [?]', ' Drunken Brawler\nNow always procs a critical strike on the next attack, if Brewmaster did not attack in the last 10 seconds.\nNow always evades the next attack, if Brewmaster was not attacked in the last 10 seconds. [?]', ' Cyclone is now dispellable. [?]']"
6.80,['Reduced  Primal Split cooldown from 180/160/140 to 140/120/100.']
6.79,"['Increased base  agility from 16 to 22.', ' Drunken Haze now affects a 200 radius around the target.', ' Thunder Clap is now dispellable.', 'Changed  Primal Split selection order from  Storm/ Earth/ Fire to  Earth/ Storm/ Fire.', ""Reworked  Aghanim's Scepter upgrade:\nNo longer increases duration from 15/17/19 to 20/23/26.\nNo longer reduces cooldown from 180/150/120 to 150/120/90.\nNo longer increases  Earth health from 1500/2250/3000 to 2250/3000/3800.\nNo longer increases  Earth mana from 400/500/600 to 500/600/600\nNo longer increases  Earth attack damage from 37-43/75-84/159-171 to 75-84/159-171/179-191.\nNo longer increases  Storm health from 1000/1500/1900 to 1500/1900/2400.\nNo longer increases  Storm mana from 500/750/750 to 750/750/750.\nNo longer increases  Storm attack damage from 37-43/75-84/159-171 to 75-84/159-171/174-186.\nNo longer increases  Fire health from 900/1350/1800 to 1350/1800/2200.\nNo longer increases  Fire  Permanent Immolation damage from 15/30/45 to 30/45/55.\nGrants  Thunder Clap to  Earth,  Drunken Haze to  Storm, and  Drunken Brawler to  Fire.\nThe abilities granted are at the same level as Brewmaster's abilities.\nCooldowns are independent of the original Brewmaster."", 'No longer increases duration from 15/17/19 to 20/23/26.', 'No longer reduces cooldown from 180/150/120 to 150/120/90.', 'No longer increases  Earth health from 1500/2250/3000 to 2250/3000/3800.', 'No longer increases  Earth mana from 400/500/600 to 500/600/600', 'No longer increases  Earth attack damage from 37-43/75-84/159-171 to 75-84/159-171/179-191.', 'No longer increases  Storm health from 1000/1500/1900 to 1500/1900/2400.', 'No longer increases  Storm mana from 500/750/750 to 750/750/750.', 'No longer increases  Storm attack damage from 37-43/75-84/159-171 to 75-84/159-171/174-186.', 'No longer increases  Fire health from 900/1350/1800 to 1350/1800/2200.', 'No longer increases  Fire  Permanent Immolation damage from 15/30/45 to 30/45/55.', 'Grants  Thunder Clap to  Earth,  Drunken Haze to  Storm, and  Drunken Brawler to  Fire.', ""The abilities granted are at the same level as Brewmaster's abilities."", 'Cooldowns are independent of the original Brewmaster.']"
6.78,"["" Aghanim's Scepter upgraded  Primal Split brewlings now all gain your current level of  Drunken Brawler."", "" Aghanim's Scepter no longer increases  Fire brewling's attack damage from 72-82/115-130/144-164 to 115-130/144-164/184-204.""]"
6.75,"['brewlings are now affected by  Black Hole.', 'brewlings now cancel  Smoke of Deceit.', ' Primal Split\nbrewlings are now affected by  Black Hole.\nbrewlings now cancel  Smoke of Deceit.']"
6.73,['Reduced  Drunken Haze cooldown from 12 to 8.']
6.72d,['Increased collision size from 12 to 24.']
6.72c,"['Increased base health regeneration from 0.25 to 0.75 (total health regen is now 1.44).', 'Reduced collision size from 24 to 12.']"
6.72,"['Increased attack range from 100 to 128.', 'Increased  Drunken Haze duration from 7 to 8.', "" Primal Split  Earth now carries the hero's auras around him.""]"
6.70,"['Increased critical strike proc chance from 5%/10%/15%/20% to 10%/15%/20%/25%.', 'Increased evasion proc chance from 6%/12%/18%/24% to 10%/15%/20%/25%.', ' Drunken Brawler\nIncreased critical strike proc chance from 5%/10%/15%/20% to 10%/15%/20%/25%.\nIncreased evasion proc chance from 6%/12%/18%/24% to 10%/15%/20%/25%.']"
6.68,['Increased  Drunken Haze slow from 10%/14%/18%/22% to 14%/18%/22%/26%.']
6.65,"['Reduced armor from 2 to 0.', 'Rescaled health from 900/1350/1800 ( 1350/1800/2200) to 1200.', 'Rescaled attack damage from 52-62/105-120/214-234 ( 105-120/214-234/234-254) to 72-82/115-130/144-164 ( 115-130/144-164/184-204).', ' Fire\nReduced armor from 2 to 0.\nRescaled health from 900/1350/1800 ( 1350/1800/2200) to 1200.\nRescaled attack damage from 52-62/105-120/214-234 ( 105-120/214-234/234-254) to 72-82/115-130/144-164 ( 115-130/144-164/184-204).', 'Increased  Primal Split cooldown from 180/150/120 ( 150/120/90) to 180/160/140 ( 160/140/120).']"
6.64,[' Fire now has hero damage type.']
6.63,['Increased  Fire movement speed from 325/375/425 to 522 on each level.']
6.61,['Increased  Drunken Brawler critical strike damage from 180% to 200%.']
6.60,"['Increased  Permanent Immolation damage from 10/10/30 to 15/30/45.', 'Removed Taunt ability from  Earth.', ""Added  Aghanim's Scepter upgrade for  Primal Split:\nIncreases duration from 15/17/19 to 20/23/26.\nReduces cooldown from 180/150/120 to 150/120/90.\n Earth\nIncreases health from 1500/2250/3000 to 2250/3000/3800.\nIncreases mana from 400/500/600 to 500/600/600\nIncreases attack damage from 37-43/75-84/159-171 to 75-84/159-171/179-191.\n Storm\nIncreases health from 1000/1500/1900 to 1500/1900/2400.\nIncreases mana from 500/750/750 to 750/750/750.\nIncreases attack damage from 37-43/75-84/159-171 to 75-84/159-171/174-186.\n Fire\nIncreases health from 900/1350/1800 to 1350/1800/2200.\nIncreases attack damage from 52-62/105-120/214-234 to 105-120/214-234/234-254.\nIncreases  Permanent Immolation damage from 15/30/45 to 30/45/55."", 'Increases duration from 15/17/19 to 20/23/26.', 'Reduces cooldown from 180/150/120 to 150/120/90.', ' Earth\nIncreases health from 1500/2250/3000 to 2250/3000/3800.\nIncreases mana from 400/500/600 to 500/600/600\nIncreases attack damage from 37-43/75-84/159-171 to 75-84/159-171/179-191.', ' Storm\nIncreases health from 1000/1500/1900 to 1500/1900/2400.\nIncreases mana from 500/750/750 to 750/750/750.\nIncreases attack damage from 37-43/75-84/159-171 to 75-84/159-171/174-186.', ' Fire\nIncreases health from 900/1350/1800 to 1350/1800/2200.\nIncreases attack damage from 52-62/105-120/214-234 to 105-120/214-234/234-254.\nIncreases  Permanent Immolation damage from 15/30/45 to 30/45/55.']"
6.57,"['Increased  Thunder Clap radius from 250/300/350/400 to 400 on each level.', ' Primal Split\nReduced cooldown from 180/170/160 to 180/150/120.\nReduced mana cost from 125/175/225 to 125/150/175.\nFixed  Earth mana from 500/400/600 to 400/500/600.', 'Reduced cooldown from 180/170/160 to 180/150/120.', 'Reduced mana cost from 125/175/225 to 125/150/175.', 'Fixed  Earth mana from 500/400/600 to 400/500/600.']"
6.53,['Increased  Fire movement speed from 325 on each level to 325/375/425.']
6.52,"['Increased  Drunken Haze cast range from 550 to 850.', 'Reduced  Primal Split cooldown from 180 to 180/170/160.', 'Increased  Permanent Immolation damage from 10/10/10 to 10/10/30.']"
6.50,['Increased  Drunken Haze slow from 10%/12%/15%/17% to 10%/14%/18%/22%.']
6.46,"['Reduced  Primal Split duration from 15/20/25 to 15/17/19.', 'Reduced  Dispel Magic damage to summons from 350 to 200.']"
6.45,"['Reduced mana cost from 150/225/320 to 125/175/225', 'Increased duration from 15 to 15/20/25.', ' Primal Split\nReduced mana cost from 150/225/320 to 125/175/225\nIncreased duration from 15 to 15/20/25.']"
6.36,"['Increased duration from 5 to 7', 'Reduced mana cost from 75 to 50.', ' Drunken Haze\nIncreased duration from 5 to 7\nReduced mana cost from 75 to 50.', 'Increased  Dispel Magic damage to summons from 200 to 350.']"
6.35,['Increased base armor from 0 to 1 (total armor is now 3.24).']
6.20,"[""Changed  Storm's and  Earth's attack damage type from normal to piercing.""]"
6.04,"['Increased  Drunken Brawler critical strike damage from 170% to 180%.', 'Increased  Drunken Haze slow from 5%/8%/11%/14% to 10%/12%/15%/17%.']"
6.00,"['Reduced  strength gain from 3.1 to 2.9.', 'Increased  Drunken Brawler (pre 7.20) critical damage from 140% to 170%.', 'Renamed  Storm, Earth, And Fire to  Primal Split.']"
5.84,"['Reduced critical damage from 300% to 140%.', 'Reduced critical chance from 7/9/11/14% to 5/10/15/20%.', ' Drunken Brawler (pre 7.20)\nReduced critical damage from 300% to 140%.\nReduced critical chance from 7/9/11/14% to 5/10/15/20%.']"
5.65,"['Increased  strength gain from 3.00 to 3.10.', 'Reduced  agility gain from 2.15 to 1.95.', 'Increased  intelligence gain from 1.15 to 1.25.']"
5.58,"['Reduced base attack damage from 33-43 to 28-36.', 'Increased base attack time from 1.50 to 1.70.', 'Reduced base  agility from 17 to 16.', 'Reduced base  intelligence from 15 to 14.', 'Reduced  intelligence gain from 1.50 to 1.15.', ' Drunken Haze\nReduced movement speed slow from 50% to 5/8/11/14%.\nReduced mana cost from 75/85/95/105 to 75.', 'Reduced movement speed slow from 50% to 5/8/11/14%.', 'Reduced mana cost from 75/85/95/105 to 75.']"
5.57,"['Reduced miss chance from 45/55/65/80% to 45/55/65/75%.', 'Reduced duration from 6 to 5.', 'No longer affects a 200 radius around the target.', ' Drunken Haze\nReduced miss chance from 45/55/65/80% to 45/55/65/75%.\nReduced duration from 6 to 5.\nNo longer affects a 200 radius around the target.']"
5.55,"['Reduced duration from 5 to 4.75.', 'Reduced attack speed slow from 25/35/45/60% to 25/35/45/55%.', 'Reduced movement speed slow from 25/35/45/60% to 25/35/45/55%.', 'Increased mana cost from 80/90/100/110 to 90/105/130/150.', 'Increased cooldown from 10 to 12.', ' Thunder Clap\nReduced duration from 5 to 4.75.\nReduced attack speed slow from 25/35/45/60% to 25/35/45/55%.\nReduced movement speed slow from 25/35/45/60% to 25/35/45/55%.\nIncreased mana cost from 80/90/100/110 to 90/105/130/150.\nIncreased cooldown from 10 to 12.', 'Reduced  Drunken Haze miss chance from 45/65/80/90% to 45/55/65/80%.', 'Increased  Drunken Brawler (pre 7.20) critical chance from 7/9/11/13% to 7/9/11/14%.', 'Reduced  Storm, Earth, And Fire duration from 60 to 15.']"
5.54,"['Reduced base attack time from 1.70 t 1.50.', 'Increased base  agility from 15 to 17.', 'Reduced  agility gain from 2.25 to 2.15.', 'Increased  Thunder Clap slow duration from 4 to 5.', 'Increased  Drunken Haze duration from 5 to 6.']"
5.50,"['Increased base HP from 100 to 150.', ' Thunder Clap\nIncreased damage from 75/125/200/250 to 100/175/250/300\nIncreased attack speed slow from 25/35/45/55% to 25/35/45/60%.\nIncreased movement speed slow from 25/35/45/55% to 25/35/45/60%.', 'Increased damage from 75/125/200/250 to 100/175/250/300', 'Increased attack speed slow from 25/35/45/55% to 25/35/45/60%.', 'Increased movement speed slow from 25/35/45/55% to 25/35/45/60%.', 'Increased  Drunken Brawler (pre 7.20) critical chance from 6/8/10/12% to 7/9/11/13%.', ""Removed  Aghanim's Scepter Upgrade for Brewmaster."", 'Increased  Storm base attack damage from 37-43/75-84/122-134 to 37-43/75-84/159-171', ' Earth\nIncreased base attack damage from 37-43/75-84/122-134 to 37-43/75-84/159-171.\nNow has a 500/400/600 mana pool and a 2.0 base mana regen.\nIncreased base movement speed from 300 to 325.', 'Increased base attack damage from 37-43/75-84/122-134 to 37-43/75-84/159-171.', 'Now has a 500/400/600 mana pool and a 2.0 base mana regen.', 'Increased base movement speed from 300 to 325.', ' Fire\nIncreased base attack damage from 52-62/105-120/179-199 to 52-62/105-120/214-234.\nIncreased base movement speed from 300 to 325.', 'Increased base attack damage from 52-62/105-120/179-199 to 52-62/105-120/214-234.']"
5.40,"['Increased  Storm base movement speed from 300 to 350.', ""Added  Aghanim's Scepter upgrade for Brewmaster: Increases Brewlings base attack damage.\nIncreases  Earth base attack damage from 37-43/75-84/122-134 to 75-84/122-134/192-204.\n Storm\nIncreases base attack damage from 37-43/75-84/122-134 to 75-84/122-134/154-164.\nReduces base attack time from 1.50/1.50/1.35 to 1.50/1.35/1.35.\nIncreases  Fire base attack damage from 52-62/105-120/179-199 to 105-120/179-199/254-274."", 'Increases  Earth base attack damage from 37-43/75-84/122-134 to 75-84/122-134/192-204.', ' Storm\nIncreases base attack damage from 37-43/75-84/122-134 to 75-84/122-134/154-164.\nReduces base attack time from 1.50/1.50/1.35 to 1.50/1.35/1.35.', 'Increases  Fire base attack damage from 52-62/105-120/179-199 to 105-120/179-199/254-274.']"
5.36,['Reduced  Drunken Haze miss chance from 45/65/80/95% to 45/65/80/90%.']
5.35,"['Reduced critical chance from 6% to 6/8/10/12%.', 'Reduced critical damage from 200/300/400/500% to 300%.', ' Drunken Brawler (pre 7.20)\nReduced critical chance from 6% to 6/8/10/12%.\nReduced critical damage from 200/300/400/500% to 300%.']"
5.31,"['Throws a boulder at a unit, doing damage and stunning it.', 'Cast Range: 800.', 'Damage: 100', 'Stun Duration: 2.', 'Cooldown: 10.', 'Mana Cost: 100.', 'Projectile Speed: 1000.', 'Increased  Thunder Clap damage from 50/100/150/200 to 75/125/200/250.', ' Drunken Brawler (pre 7.20)\nReduced critical chance from 10% to 6%.\nReduced critical damage from 200/300/400/600% to 200/300/400/500%.\nReduced evasion from 7/14/21/30% to 6/12/18/24%.', 'Reduced critical chance from 10% to 6%.', 'Reduced critical damage from 200/300/400/600% to 200/300/400/500%.', 'Reduced evasion from 7/14/21/30% to 6/12/18/24%.', 'Increased  Earth base attack damage from 37-43/55-64/73-85 to 37-43/75-84/122-134.', 'Added a new spell to  Earth Brewling. [?]']"
5.10,['Created.']
