7.26c,"['Level 25 left talent: -40s  Mana Void cooldown increased to  -45s.', 'Talents:']"
5.50,"['Increased base HP from 100 to 150', 'Increased  Blink cooldown from 10/7/5/2 to 10/7/5/3.', ""Removed  Aghanim's Scepter upgrade for Anti-Mage""]"
5.40,"[""Added  Aghanim's Scepter upgrade for Anti-Mage: Increases  Mana Void damage per missing mana from 0.40/0.75/1.10 to 0.75/1.10/1.50, but also reduces stun duration from 0.1/0.2/0.3 to 0.1.""]"
5.35,['Increased  Mana Void stun duration from 0.1 to 0.1./0.2/0.3.']
5.31,"['Increased  Mana Burn mana cost from 65/85/85/95 to 60/85/100/115.', 'Increased  Mana Void damage per missing mana from 0.33/0.60/1.00 to 0.40/0.75/1.10.']"
5.10,"['Increased  agility gain from 2.25 to 2.8.', 'Increased  intelligence gain from 0.8 to 1.5.', 'Replaced  Spell Shield (4.00) with  Mana Void']"
4.10,"['Rescaled mana cost from 50/10/5/1 to 50.', 'Reduced cooldown from 10/10/7/5 to 10/7/5/2.', ' Blink\nRescaled mana cost from 50/10/5/1 to 50.\nReduced cooldown from 10/10/7/5 to 10/7/5/2.']"
4.0beta10,"['Moved  Mana Break to the first ability slot.', 'Moved  Mana Strangle to the second ability slot.', 'Replaced  Mana Strangle with  Mana Burn.']"
4.0beta6,['Reduced base attack damage from 31-35 to 28-32.']
4.0beta5,"['Reduced  Mana Strangle mana cost from 100 to 80/90/100/100', 'Increased  Blink cooldown from 10/10/5/2 to 10/10/7/5.']"
4.0beta2,"['Added a 4th level to all basic abilities.', ' Mana Strangle\nRescaled mana burn from 25/35/45 to 25/35/45/55.\nIncreased damage from 0.01 to 8/10/11/12\nIncreased mana cost from 75 to 100\nReduced cooldown from 30 to 15', 'Rescaled mana burn from 25/35/45 to 25/35/45/55.', 'Increased damage from 0.01 to 8/10/11/12', 'Increased mana cost from 75 to 100', 'Reduced cooldown from 30 to 15', 'Rescaled  Mana Break damage from 20/40/60 to 16/32/48/64 mana burned per hit.', 'Replaced  Haste with  Blink']"
3.2j,"['Reduced base attack damage from 35-39 to 31-35.', 'Increased  Spell Shield (3.00) spell block cooldown from 60/30/0 to 60/45/30.']"
3.00d,['Replaced  Spell Mantle with  Mana Break.']
2.60,['Created.']
